"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","正式名称","略称","種類","設立","法人番号","代表者","外部リンク","英語名称","設立年月日","本社所在地","ウェブサイト","業種","事業内容","上位組織","組織形態","前身","資本金","従業員数"
"IBM東京基礎研究所","[IBM東京基礎研究所] IBM東京基礎研究所 （アイビーエムとうきょうきそけんきゅうじょ、 英語 : IBM Research - Tokyo ）は、 IBM の世界で12か所ある主な基礎研究所の一つ。2009年までは IBM Tokyo Research Laboratory （ TRL ）と呼ばれていた。    IBM研究部門 （ IBM Research ）の支部で約200名の研究者が在籍している。 ","https://ja.wikipedia.org/wiki/IBM東京基礎研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度40分45.199秒 東経139度47分12.048秒","","","","","","","","","","","","","","","","","","",""
"高知医療再生機構","[高知医療再生機構] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/高知医療再生機構","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"英語教授研究所","[英語教授研究所] 英語教授研究所 （えいごきょうじゅけんきゅうじょ、 The Institute for Research in English Teaching ） は 1923年 （大正12年）5月23日に文部省英語教授顧問 ハロルド・パーマー を初代所長として 文部省 内に設立された。英語教育を専門として設立された世界初の研究機関である。 岡田良平 文部大臣が名誉総裁、 澤柳政太郎 と 松方幸次郎 が副総裁だった。 1942年 （昭和17年）3月に 語学教育研究所 と改称して、現在も精力的に活動している。","https://ja.wikipedia.org/wiki/英語教授研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"オートバックス・スポーツカー研究所","[オートバックス・スポーツカー研究所] オートバックス・スポーツカー研究所 （オートバックススポーツカーけんきゅうじょ、 ASL ）は、 オートバックスセブン が運営する スポーツカー 開発機関。ASLは「AUTOBACS SPORTSCAR LABORATORY」の略称である。","https://ja.wikipedia.org/wiki/オートバックス・スポーツカー研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"千葉大学真菌医学研究センター","[千葉大学真菌医学研究センター] 共同利用・共同研究拠点  に指定されている。","https://ja.wikipedia.org/wiki/千葉大学真菌医学研究センター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","日本〒260-8673千葉県千葉市中央区亥鼻1-8-1","千葉大学真菌医学研究センター","MMRC","","","","","","Chiba University Medical Mycology Research Center","1997年4月1日","","","","","千葉大学","大学附置研究所（共同利用・共同研究拠点）","腐敗研究所","",""
"現代コリア研究所","[現代コリア研究所] 現代コリア研究所 （げんだいこりあけんきゅうじょ、 1961年 設立 - ）は任意機関。","https://ja.wikipedia.org/wiki/現代コリア研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"工業試験場","[工業試験場] 工業試験場 （こうぎょうしけんじょう）は、 工業 に関する 研究 を行う日本の 機関 。 独立行政法人 や 都道府県 、 大学 の 工学部 、大規模な 製造業 関連の 会社 などが設置する。","https://ja.wikipedia.org/wiki/工業試験場","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"G&amp;U技術研究センター","[G&U技術研究センター] ","https://ja.wikipedia.org/wiki/G&U技術研究センター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度59分18.0秒東経139度28分4.0秒","日本埼玉県比企郡川島町吹塚北緯35度59分18.0秒東経139度28分4.0秒﻿ / ﻿北緯35.988333度 東経139.467778度﻿ /35.988333; 139.467778﻿ (G&U技術研究センター)座標:北緯35度59分18.0秒東経139度28分4.0秒﻿ / ﻿北緯35.988333度 東経139.467778度﻿ /35.988333; 139.467778﻿ (G&U技術研究センター)","G&U技術研究センター","","","","","","","","","","http://www.gucenter.co.jp","","","","株式会社","","",""
"自衛隊病院","[自衛隊病院] 自衛隊病院 （じえいたいびょういん）とは、 防衛省 が設置・運営する陸・海・空自衛隊の 共同機関 であり、 自衛隊中央病院 や陸海空幕僚長を通じて指揮監督を受ける自衛隊地区病院の総称。共同機関以外に防衛省が設置する 病院 として 防衛医科大学校病院 がある。","https://ja.wikipedia.org/wiki/自衛隊病院","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ジオパワーシステム","[ジオパワーシステム] ","https://ja.wikipedia.org/wiki/ジオパワーシステム","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","株式会社","2001年4月","3250001004682","代表取締役　橋本真成","www.geo-power.co.jp/","","","日本〒754-0603山口県美祢市秋芳町別府2604-1","","建設業","住宅向け地熱エネルギー活用技術の研究・開発・製造・販売","","","","9500万円",""
"静岡県埋蔵文化財調査研究所","[静岡県埋蔵文化財調査研究所] 静岡県埋蔵文化財調査研究所は、 埋蔵文化財 の調査や研究などを目的に、 静岡県 の出資により設立された 財団法人 である  。駿府博物館付属静岡埋蔵文化財調査研究所の業務を継承し、 1984年 5月 に設立された  。事業内容として「埋蔵文化財の調査及び研究」  「埋蔵文化財保護思想の普及、公開及び啓発」  「情報の収集、整理及び広報」  「埋蔵文化財の研修」  などを掲げており、静岡県に所在する埋蔵文化財の調査、研究にあたってきた。","https://ja.wikipedia.org/wiki/静岡県埋蔵文化財調査研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","静岡県静岡市駿河区谷田23番20号","","","","1984年5月1日","","","","","","","財団法人 静岡県埋蔵文化財調査研究所","","","","","","",""
"司法研修所","[司法研修所] 司法研修所 （しほうけんしゅうじょ）は、 日本 の 最高裁判所 が設置する研修機関の1つで、 裁判官 の研究・修養、 司法修習 生の修習に関する事務を取り扱う機関である。 埼玉県 和光市 南 二丁目3番8号にある。 東武東上線 ・ 地下鉄有楽町線 和光市駅 からは約2km強、 成増駅 / 地下鉄成増駅 からは約3 km強離れている。","https://ja.wikipedia.org/wiki/司法研修所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度46分24.6秒 東経139度36分2.2秒","","","","","","","","","","","","","","","","","","",""
"シミックファーマサイエンス","[シミックファーマサイエンス] ","https://ja.wikipedia.org/wiki/シミックファーマサイエンス","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","株式会社","1980年（昭和55年）12月24日（株式会社北海道ラジオアイソトープセンター）","3430001022617","代表取締役社長執行役員　小作 寛","公式サイト","","","日本〒408-0044山梨県北杜市小淵沢町10221","","サービス業","医薬品及び医薬部外品等の研究開発の受託","","","","9900万円","351名（2017年9月）"
"情報法制研究所","[情報法制研究所] 一般財団法人 情報法制研究所 （いっぱんざいだんほうじんじょうほうほうせいけんきゅうしょ、英：Japan Institute of Law and Information Systems、略称： JILIS （じりす））は、 2016年 に情報法制に関する 研究 と 政策提言 を目的として設立された研究組織である。","https://ja.wikipedia.org/wiki/情報法制研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"政策空間","[政策空間] 政策空間 （せいさくくうかん、Policy Space）は、日本の研究機関。 政策 に関連する分析・提言などを専門に行っている。","https://ja.wikipedia.org/wiki/政策空間","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"生体機能探査推進機構","[生体機能探査推進機構] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/生体機能探査推進機構","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","BFO","特定非営利活動法人","","7040005020495","","","","","261-0021千葉県千葉市美浜区ひび野1丁目1番地幕張国際研修センター内","","学術・開発研究機関","","","","","",""
"CEKAI KYOTO HAUS","[CEKAI KYOTO HAUS] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/CEKAI_KYOTO_HAUS","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"戦略思想研究所","[戦略思想研究所] 2019年10月1日より営業を開始（法人番号は2019年9月24日に取得）。","https://ja.wikipedia.org/wiki/戦略思想研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","株式会社","2019年9月17日","","中森護","","","","108-0014東京都港区芝5丁目16番14号ノックスビル","","サービス業","","","","","",""
"ソルテック","[ソルテック] ソルテック株式会社 （SORTEC）は、かつて存在した官民合同出資で設立された会社組織の研究所である。設立は 1986年 6月で、予定研究期間1996年3月まで、その目的は シンクロトロン放射光 の利用技術の確立、特に、放射光を使った フォトリソグラフィ 技術の確立であった。出資者は基盤技術促進センターと住友電工、東芝、日立製作所、富士通、三菱電機、松下電器、日本電気、三洋電機、ソニー、シャープ、沖電気を含む関連企業計13社である。出資割合は、基盤技術研究促進センターが7割、関連企業13社が3割である   。","https://ja.wikipedia.org/wiki/ソルテック","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大学連携研究設備ネットワーク","[大学連携研究設備ネットワーク] 大学連携研究設備ネットワーク （だいがくれんけいけんきゅうせつびねっとわーく）は、各 大学 が所有する研究設備の相互利用を推進するため、 大学共同利用機関法人 自然科学研究機構 が全国の 大学 と連携・推進しているプロジェクトである。","https://ja.wikipedia.org/wiki/大学連携研究設備ネットワーク","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"滝沢市IPUイノベーションセンター","[滝沢市IPUイノベーションセンター] 2009年に滝沢村（当時）、岩手県立大学、岩手県の3者による「滝沢村IPUイノベーションパーク整備計画」が策定された。この整備計画は、企業誘致、IT関連企業の人材育成、産学官連携の推進を目指したものであった。","https://ja.wikipedia.org/wiki/滝沢市IPUイノベーションセンター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","〒020-0611岩手県滝沢市巣子152-409","","","","","","","","","","","","","","","","","",""
"チュチェ思想国際研究所","[チュチェ思想国際研究所] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/チュチェ思想国際研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"超高温材料研究所","[超高温材料研究所] 株式会社超高温材料研究所 （ちょうこうおんざいりょうけんきゅうじょ、 英称 : Japan Ultra-high Temperature Materials Research Institute ）は、 日本 の 研究所 。略称は JUTEM 。","https://ja.wikipedia.org/wiki/超高温材料研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東方文化学院","[東方文化学院] 東方文化学院 （とうほうぶんかがくいん）は、 昭和 時代戦前期の日本に存在していた国立の 東洋学 ・アジア学の研究機関である。","https://ja.wikipedia.org/wiki/東方文化学院","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ナショナルバイオリソースプロジェクト","[ナショナルバイオリソースプロジェクト] ","https://ja.wikipedia.org/wiki/ナショナルバイオリソースプロジェクト","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奈良県立橿原考古学研究所","[奈良県立橿原考古学研究所] 入り口付近の一部は無料展示がある。括弧内は20名以上の団体料金。","https://ja.wikipedia.org/wiki/奈良県立橿原考古学研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯34度29分32秒 東経135度47分28.8秒","奈良県橿原市畝傍町","奈良県立橿原考古学研究所附属博物館","","","","","","奈良県立橿原考古学研究所附属博物館","","","","","","","","","大和国史館","",""
"奈良国立博物館仏教美術資料研究センター","[奈良国立博物館仏教美術資料研究センター] 建物は、日本建築史学者 関野貞 の設計による 1902年 （ 明治 35年）竣工の旧奈良県物産陳列所で、 1983年 （昭和58年）1月7日に国の 重要文化財 に指定されている  。","https://ja.wikipedia.org/wiki/奈良国立博物館仏教美術資料研究センター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯34度40分57.1秒東経135度50分20.9秒","奈良県奈良市登大路町50","","","","","","","","","","","","","","","","","",""
"奈良文化財研究所","[奈良文化財研究所] 奈良文化財研究所 （ならぶんかざいけんきゅうじょ）は、 奈良県 奈良市 二条町2丁目9-1に所在する 独立行政法人 国立文化財機構 の一部門。古都 奈良 の 文化財 、 埋蔵文化財 の研究や 平城宮 跡、 藤原宮 跡の 発掘調査 も手がける。また 奈良市 や 明日香村 に資料館などを公開している。略称、 奈文研 （なぶんけん）。現所長は松村恵司（元 文化庁 文化財鑑査官）。所のシンボルマークは 平城宮 跡から出土した「 隼人の楯 」である  。","https://ja.wikipedia.org/wiki/奈良文化財研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯34度41分30.1秒 東経135度47分17.9秒","","","","","","","","","","","","","","","","","","",""
"ニーオルスン基地","[ニーオルスン基地] ニーオルスン基地では、主に以下の研究観測が実施されている  。","https://ja.wikipedia.org/wiki/ニーオルスン基地","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯78度55分東経11度56分"," ノルウェースピッツベルゲン島北緯78度55分東経11度56分﻿ / ﻿北緯78.917度 東経11.933度﻿ /78.917; 11.933﻿ (ニーオルスン基地)座標:北緯78度55分東経11度56分﻿ / ﻿北緯78.917度 東経11.933度﻿ /78.917; 11.933﻿ (ニーオルスン基地)","ニーオルスン基地","","","","","","","Ny-Ålesund NIPR Observatory","1991年","","","","","情報・システム研究機構","","","",""
"日本IBM野洲事業所","[日本IBM野洲事業所] 2005年 8月に京セラに売却され   、 2007年 7月本事業所は閉鎖された。","https://ja.wikipedia.org/wiki/日本IBM野洲事業所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度04分22.3秒東経136度01分18.3秒","","","","","","","","","","","","","","","","","","",""
"日本IBM大和事業所","[日本IBM大和事業所] 2012年 7月に「IBM東京ラボラトリー」が 日本IBM豊洲事業所 内に開設され、本事業所は閉鎖された  。現在は建物を土地所有者の 三機工業 が研究所として利用している。","https://ja.wikipedia.org/wiki/日本IBM大和事業所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度30分19.8秒東経139度27分7.8秒","","","","","","","","","","","","","","","","","","",""
"日本カウンセラー学院","[日本カウンセラー学院] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/日本カウンセラー学院","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日本色彩研究所","[日本色彩研究所] ","https://ja.wikipedia.org/wiki/日本色彩研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度58分27.2秒東経139度41分43.3秒","〒339-0073埼玉県さいたま市岩槻区上野4-6-23北緯35度58分27.2秒東経139度41分43.3秒﻿ / ﻿北緯35.974222度 東経139.695361度﻿ /35.974222; 139.695361﻿ (一般財団法人 日本色彩研究所)座標:北緯35度58分27.2秒東経139度41分43.3秒﻿ / ﻿北緯35.974222度 東経139.695361度﻿ /35.974222; 139.695361﻿ (一般財団法人 日本色彩研究所)","一般財団法人 日本色彩研究所","日本色研","","","","","","Japan Color Research Institute","1927年（昭和2年）","","","","","","一般財団法人","日本標準色協会","",""
"ニューロインテリジェンス国際研究機構","[ニューロインテリジェンス国際研究機構] ニューロインテリジェンス国際研究機構 （ニューロインテリジェンスこくさいけんきゅうきこう、 英称 ： International Research Center for Neurointelligence 、 略称 ： IRCN ）は、 東京大学 総長室直属の国際高等研究所。","https://ja.wikipedia.org/wiki/ニューロインテリジェンス国際研究機構","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"NEXCOシステムズ","[NEXCOシステムズ] 日本道路公団直営事業により、名神高速道路管理局にて事業開始。","https://ja.wikipedia.org/wiki/NEXCOシステムズ","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","N-SYS","株式会社","1975年（昭和50年）6月19日（株式会社高速道路計算センター）","2010501018629","高松隆久（代表取締役社長）","http://www.nexco-sys.co.jp/","","","163-6025東京都新宿区西新宿6丁目8番1号住友不動産新宿オークタワー25階","","","NEXCO3社の基幹業務・料金収入計算・交通量測定などのシステム開発・運用・保守","","","","5,000万円","1,283名（2018年3月31日現在）"
"PHP研究所","[PHP研究所] 「PHP」とは、「Peace and Happiness through Prosperity」（繁栄によって 平和 と幸福を）の頭文字をとった語で  、「物心両面の繁栄により、平和と幸福を実現していく」という 松下幸之助 の願いのもと、 1946年 （昭和21年）11月に創設された  。","https://ja.wikipedia.org/wiki/PHP研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯34度59分1.8秒東経135度45分16.6秒","","","","株式会社","1946年11月3日","5130001011508","代表取締役/会長松下正幸代表取締役/社長 瀬津要","公式サイト","","","","","","出版事業","","","","","308人（2019年4月1日現在）"
"不動産経済研究所","[不動産経済研究所] ","https://ja.wikipedia.org/wiki/不動産経済研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","株式会社","1964年4月","7011101018634","高橋幸男　代表取締役社長","http://www.fudousankeizai.co.jp/","","","東京都新宿区新宿1-15-9","","情報・通信業","不動産市場動向調査、各種専門紙誌の発行","","","","",""
"船井総研ロジ","[船井総研ロジ] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/船井総研ロジ","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ブラディッシュ","[ブラディッシュ] 再生医学 の研究を柱に、 医療装置 や 健康食品 の開発などを行っている。","https://ja.wikipedia.org/wiki/ブラディッシュ","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","株式会社","2003年11月4日","8480001003533","石川友康（代表取締役社長）","www.bloodissue.com","","","日本〒770-8021徳島県徳島市雑賀町西開11-2","","サービス業","医療装置などの研究開発","","","","9,638万円","7人"
"プロレタリア科学研究所","[プロレタリア科学研究所] プロレタリア科学研究所 （プロレタリアかがくけんきゅうじょ）は、 1929年 に設立され、現実社会の マルクス主義 的分析や啓蒙活動を行った、 戦前 の 科学者 の民間学術研究団体。諸科学のマルクス主義的研究・発表を目的として創立された  。略称「 プロ科 」。","https://ja.wikipedia.org/wiki/プロレタリア科学研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"民間稲作研究所","[民間稲作研究所] ","https://ja.wikipedia.org/wiki/民間稲作研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","稲葉光圀","http://inasaku.or.tv/kenkyujo/","","","","","","","","","","",""
"友邦文庫","[友邦文庫] 友邦文庫 （ゆうほうぶんこ）は、 朝鮮総督府 の資料。正式には友邦協会・中央日韓協会文庫  。 朝鮮総督府政務総監 や各局長の政策に関する報告書やメモなどが収集されている。2000年8月より 学習院大学 東洋文化研究所が保管している  。以下、友邦協会・中央日韓協会についても概説する。","https://ja.wikipedia.org/wiki/友邦文庫","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ユーラシア研究所","[ユーラシア研究所] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/ユーラシア研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ライフサイエンス統合データベースセンター","[ライフサイエンス統合データベースセンター] 2007年4月1日、日本のライフサイエンス分野におけるデータベース統合化の拠点を形成することを目的として、大学共同利用機関法人 情報・システム研究機構 に設置された。","https://ja.wikipedia.org/wiki/ライフサイエンス統合データベースセンター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","日本〒277-0871千葉県柏市若柴178-4-4東京大学柏の葉キャンパス駅前サテライト6階","ライフサイエンス統合データベースセンター","DBCLS","","","","","","Database Center for Life Science","2007年4月1日","","http://dbcls.rois.ac.jp/","","","情報・システム研究機構","","","",""
"楽天技術研究所","[楽天技術研究所] 楽天技術研究所 （らくてんぎじゅつけんきゅうじょ、英文表記： Rakuten Institute of Technology ）は、 楽天グループ 株式会社の研究開発部門。所長は 森正弥 。法人ではなく、楽天社内の一部署としてR&Dを担っている。","https://ja.wikipedia.org/wiki/楽天技術研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ランナーズインフォメーション研究所","[ランナーズインフォメーション研究所] ランナーズインフォメーション研究所 （ランナーズインフォメーションけんきゅうじょ）とは、 観光庁 が設立した 研究所 。2011年11月4日設立。所長は、元マラソン選手の 高橋尚子 。","https://ja.wikipedia.org/wiki/ランナーズインフォメーション研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"恋愛結婚学研究所","[恋愛結婚学研究所] 2016年 9月1日 に恋愛結婚学研究所は設立された  。 主な活動として、各分野の専門家による恋愛・結婚に関する学術的な研究、各種団体／企業との共同研究、研究成果の定期的な発表などを行っている。 恋愛結婚学研究所の代表は 大木隆太郎 が務めている。","https://ja.wikipedia.org/wiki/恋愛結婚学研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"労働政策研究・研修機構","[労働政策研究・研修機構] 前身となった日本労働協会は 労使紛争 が激しかった時期に 政府 、 労働組合 、 使用者 団体のそれぞれから中立の立場をとり三者の立場を調整する枠割を担うため、 日本労働協会法 に基づき、日本で最も古い特殊法人の一つとして設立された。 五味川純平 の「人間の条件」のモデルとなったとされる 隅谷三喜男 が会長の一人として名を連ねた。日本労働協会が担った事業として、労働問題の研究や国際交流のほか労働問題の啓もう活動を通じて、労働問題に関する理解と良識を培うことを理念した。 短波ラジオ を通じて、 炭鉱 労働者 などの思いを載せた作文を放送するなど、労働者のありのままの姿を広報するなどの活動を行った。","https://ja.wikipedia.org/wiki/労働政策研究・研修機構","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","北緯35度43分51秒東経139度35分21.8秒","日本〒177-8502東京都練馬区上石神井4-8-23北緯35度43分51秒東経139度35分21.8秒﻿ / ﻿北緯35.73083度 東経139.589389度﻿ /35.73083; 139.589389","独立行政法人労働政策研究・研修機構","JILPT","","","9011605001191","","","The Japan Institute for Labour Policy and Training","2003年10月1日","","https://www.jil.go.jp/","","","","独立行政法人","日本労働研究機構労働研修所#沿革の節を参照","",""
"惑星科学研究センター","[惑星科学研究センター] 惑星科学に関わる幅広い分野の研究会やスクールを企画、または公募し、運営と講演資料のアーカイブを支援している。","https://ja.wikipedia.org/wiki/惑星科学研究センター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","日本","惑星科学研究センター","CPS","","","","","","Center for Planetary Science","2007年4月1日","","http://www.cps-jp.org/","","","神戸大学","","","",""
"惑星探査研究センター","[惑星探査研究センター] センターは世界各国の惑星探査計画に協力し、太陽系天体と生命の起源と進化を解明することを目的に設立された。","https://ja.wikipedia.org/wiki/惑星探査研究センター","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","日本〒275-0016千葉県習志野市津田沼2-17-1 千葉工業大学津田沼校舎内","千葉工業大学・惑星探査研究センター","パーク、PERC","","","","","","Planetary Exploration Research Center, Chiba Institute of Technology","2009年4月16日","","惑星探査研究センター","","","千葉工業大学","","","",""
"人文科学研究所","[人文科学研究所] 人文科学研究所 （じんぶんかがくけんきゅうじょ）は、 人文科学 の研究を行う 研究所 。 日本 国内には以下のものが存在する。","https://ja.wikipedia.org/wiki/人文科学研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"社会科学研究所","[社会科学研究所] 社会科学研究所 （しゃかいかがくけんきゅうじょ）は、 社会科学 の研究を行う 研究所 。 日本 国内には以下のものが存在する。","https://ja.wikipedia.org/wiki/社会科学研究所","Category_日本の研究所","https://ja.wikipedia.org/wiki/Category:日本の研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
