"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","落差","水系","滝幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"羽衣の滝","[1羽衣の滝北海道東川町] 羽衣の滝 （はごろものたき）は、 北海道 上川郡 東川町 にある 忠別川 の支流アイシポップ沢と双見沢にかかる 滝 で、7段の滝の途中で2つの沢が合流している。 1951年 (昭和26年)2月6日北海道指定 名勝 として文化財に指定  。 1991年 （平成3年）「 日本の滝百選 」に選定された   。落差270メートル、標高1000メートル、段瀑  。","https://ja.wikipedia.org/wiki/羽衣の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯43度37分34.81秒東経142度47分12.52秒","北海道東川町","北緯43度37分34.81秒東経142度47分12.52秒﻿ / ﻿北緯43.6263361度 東経142.7868111度﻿ /43.6263361; 142.7868111","270m","石狩川水系忠別川","","","","","","","","","","","","","","",""
"インクラの滝","[2インクラの滝白老町] インクラの滝 （インクラのたき）とは、 北海道 白老町 にある 滝 である。 1991年 （平成3年）「 日本の滝百選 」に選定された。 ","https://ja.wikipedia.org/wiki/インクラの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯42度38分16.18秒東経141度20分10.99秒","北海道白老郡白老町","北緯42度38分16.18秒東経141度20分10.99秒﻿ / ﻿北緯42.6378278度 東経141.3363861度﻿ /42.6378278; 141.3363861","44m","別々川支流 西別々川","10m","","","","","","","","","","","","","",""
"\"飛竜\"賀老の滝","[3\"飛竜\"賀老の滝島牧村] 賀老の滝 （がろうのたき）は、日本の 滝 。","https://ja.wikipedia.org/wiki/賀老の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯42度35分49.8秒東経139度59分46.1秒","北海道島牧郡島牧村賀老","北緯42度35分49.8秒東経139度59分46.1秒﻿ / ﻿北緯42.597167度 東経139.996139度﻿ /42.597167; 139.996139","70m","千走川","35m","","","","","","","","","","","","","",""
"流星・銀河の滝","[4流星・銀河の滝上川町] 石狩川左岸の断崖に並んでかかる2本の滝。流星の滝は落差90メートル、標高1000メートル、直瀑  。銀河の滝は落差104メートル、分岐瀑  。流星の滝は高さのある急涯を太い1本の線となって流れ落ちる力強さから 雄滝 とも呼ばれ、銀河の滝は末広がりになって白糸を垂らしたような流身を持つ優雅さから 雌滝 と呼ばれている  。この2つの滝が仲良く寄り添って落ちている事から、 夫婦滝 の別名もある  。この2つの滝は「流星・銀河の滝」として 日本の滝百選 にも選定されている。 国道39号 銀河トンネル入口横から旧道に入ったところに駐車場が整備されており、2つの滝を間近に眺めることができる。また、駐車場から背後の斜面を20分ほど登ったところには「双瀑台」の展望台があり、流れ落ちる2つの滝を同時に眺めることができる  。層雲峡にはこの他にも、白蛇の滝、岩間の滝等大小様々な滝がある。","https://ja.wikipedia.org/wiki/流星・銀河の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯43度43分8.6秒東経142度58分37.8秒","北海道上川町","北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ /43.719056; 142.977167座標:北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ /43.719056; 142.977167","90(流星)、104(銀河)m","石狩川水系雄滝の沢(流星)、雌滝の沢(銀河)","","","","","","","","","","","","","","",""
"アシリベツの滝","[5アシリベツの滝札幌市南区] アシリベツの滝 （アシリベツのたき）は、 札幌市 南区 の 厚別川 上流にある 滝 。落差は26m。 日本の滝百選 の一つ。名称は、 アイヌ語 の アシリベツ (新しい川)に由来。アシリベツは厚別の地名語源でもある。","https://ja.wikipedia.org/wiki/アシリベツの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯42度55分1.25秒東経141度22分20.60秒","北海道札幌市南区","北緯42度55分1.25秒東経141度22分20.60秒﻿ / ﻿北緯42.9170139度 東経141.3723889度﻿ /42.9170139; 141.3723889","26m","石狩川水系厚別川","","","","","","","","","","","","","","",""
"オシンコシンの滝","[6オシンコシンの滝斜里町] オシンコシンの滝 （オシンコシンのたき）とは、 北海道 斜里郡 斜里町 のチャラッセナイ川の河口付近にある 滝 。標高は70メートル。落差は50メートル。分岐瀑。 日本の滝百選 の一つ  。","https://ja.wikipedia.org/wiki/オシンコシンの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯44度2分16秒東経144度56分7秒","北海道斜里町","北緯44度2分16秒東経144度56分7秒﻿ / ﻿北緯44.03778度 東経144.93528度﻿ /44.03778; 144.93528","50m","チャラッセナイ川","30m","","","","","","","","","","","","","",""
"くろくまの滝","[7くろくまの滝青森県鯵ヶ沢町] くろくまの滝 （くろくまのたき）は 青森県 西津軽郡 鰺ヶ沢町 にある 滝 。 日本の滝百選 の1つ。","https://ja.wikipedia.org/wiki/くろくまの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度37分46.2秒東経140度6分37.7秒","青森県西津軽郡鰺ヶ沢町一ツ森町","北緯40度37分46.2秒東経140度6分37.7秒﻿ / ﻿北緯40.629500度 東経140.110472度﻿ /40.629500; 140.110472座標:北緯40度37分46.2秒東経140度6分37.7秒﻿ / ﻿北緯40.629500度 東経140.110472度﻿ /40.629500; 140.110472","85m","赤石川水系","15m","","","","","","","","","","","","","",""
"松見の滝","[8松見の滝十和田市] 松見の滝 （まつみのたき）は 青森県 十和田市 にある 滝 。 奥入瀬川 の支流、黄瀬川の上流にあり、本流との合流点から約6.5kmの 国有林 内に位置する。 国道102号線 から徒歩で3時間ほど要し、積雪のため冬期は近づけない。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/松見の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度33分30秒東経140度54分23秒","青森県十和田市奥瀬字黄瀬国有林内","北緯40度33分30秒東経140度54分23秒﻿ / ﻿北緯40.55833度 東経140.90639度﻿ /40.55833; 140.90639","90m","奥入瀬川水系","","","","","","","","","","","","","","",""
"不動の滝","[9不動の滝岩手県八幡平市] 不動の滝 （ふどうのたき）は、 岩手県 八幡平市 高畑にある滝で、 日本の滝百選 と岩手の名水二十選に選ばれている。","https://ja.wikipedia.org/wiki/不動の滝_(八幡平市)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度3分52.1秒東経141度3分38.3秒","岩手県八幡平市高畑","北緯40度3分52.1秒東経141度3分38.3秒﻿ / ﻿北緯40.064472度 東経141.060639度﻿ /40.064472; 141.060639﻿ (不動の滝)座標:北緯40度3分52.1秒東経141度3分38.3秒﻿ / ﻿北緯40.064472度 東経141.060639度﻿ /40.064472; 141.060639﻿ (不動の滝)","15m","安比川水系・不動川","","","","","","","","","","","","","","",""
"秋保大滝","[10秋保大滝宮城県仙台市太白区] 秋保大滝 （あきうおおたき）は、 宮城県 仙台市 太白区 秋保町 にある 滝 。 蔵王国定公園 および 県立自然公園 二口峡谷 の地域内を流れる 名取川 上流部において、落差55 m 、幅6mで流れ落ちる。","https://ja.wikipedia.org/wiki/秋保大滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯38度16分29.7秒東経140度36分10.5秒","宮城県仙台市太白区秋保町馬場字大滝","北緯38度16分29.7秒東経140度36分10.5秒﻿ / ﻿北緯38.274917度 東経140.602917度﻿ /38.274917; 140.602917座標:北緯38度16分29.7秒東経140度36分10.5秒﻿ / ﻿北緯38.274917度 東経140.602917度﻿ /38.274917; 140.602917","55m","名取川","6m","","","","","","","","","","","","","",""
"三階の滝","[11三階の滝蔵王町] 三階の滝 （さんかいのたき、三階滝とも）は 宮城県 刈田郡 蔵王町 にある 滝 。落差181mを三段に落ちる壮大な 段瀑 は東北屈指であり、 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/三階の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯38度7分54.1秒東経140度31分20秒","宮城県蔵王町","北緯38度7分54.1秒東経140度31分20秒﻿ / ﻿北緯38.131694度 東経140.52222度﻿ /38.131694; 140.52222座標:北緯38度7分54.1秒東経140度31分20秒﻿ / ﻿北緯38.131694度 東経140.52222度﻿ /38.131694; 140.52222","181m","澄川","7m","","","","","","","","","","","","","",""
"七滝","[12七滝秋田県小坂町] 七滝 （ななたき）は 秋田県 鹿角郡 小坂町 にある 滝 。日本の滝百選の一つである。","https://ja.wikipedia.org/wiki/七滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度21分22秒東経140度47分1秒","秋田県鹿角郡小坂町上向字藤原","北緯40度21分22秒東経140度47分1秒﻿ / ﻿北緯40.35611度 東経140.78361度﻿ /40.35611; 140.78361座標:北緯40度21分22秒東経140度47分1秒﻿ / ﻿北緯40.35611度 東経140.78361度﻿ /40.35611; 140.78361","60m","米代川水系荒川川","","","","","","","","","","","","","","",""
"茶釜の滝","[13茶釜の滝鹿角市] 茶釜の滝 （ちゃがまのたき）は 秋田県 鹿角市 八幡平地区にある 滝 である。","https://ja.wikipedia.org/wiki/茶釜の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯40度0分40秒東経140度44分27秒","秋田県鹿角市八幡平地区","北緯40度0分40秒東経140度44分27秒﻿ / ﻿北緯40.01111度 東経140.74083度﻿ /40.01111; 140.74083","100m","米代川水系夜明島川","","","","","","","","","","","","","","",""
"法体の滝","[14法体の滝由利本荘市] 法体の滝 （ほったいのたき）は、 秋田県 由利本荘市 に位置する 滝 。 子吉川 の上流である赤沢川にある。法体の滝と 甌穴 は、 1960年 12月17日 に県の 名勝 および 天然記念物 の第1号に指定されている。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/法体の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯39度6分28.5秒東経140度9分33.6秒","秋田県由利本荘市鳥海町百宅","北緯39度6分28.5秒東経140度9分33.6秒﻿ / ﻿北緯39.107917度 東経140.159333度﻿ /39.107917; 140.159333座標:北緯39度6分28.5秒東経140度9分33.6秒﻿ / ﻿北緯39.107917度 東経140.159333度﻿ /39.107917; 140.159333","57.4m","子吉川水系赤沢川","3-30m","","","","","","","","","","","","","",""
"安の滝","[15安の滝北秋田市] 安の滝 （やすのたき）は、 秋田県 北秋田市 阿仁打当の中ノ又渓谷奥部に存在する落差約90メートルの 滝 。","https://ja.wikipedia.org/wiki/安の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯39度56分38.8秒東経140度36分50.1秒","秋田県北秋田市阿仁打当","北緯39度56分38.8秒東経140度36分50.1秒﻿ / ﻿北緯39.944111度 東経140.613917度﻿ /39.944111; 140.613917座標:北緯39度56分38.8秒東経140度36分50.1秒﻿ / ﻿北緯39.944111度 東経140.613917度﻿ /39.944111; 140.613917","90m","米代川水系中ノ又沢","","","","","","","","","","","","","","",""
"滑川大滝","[16滑川大滝山形県米沢市] 滑川大滝 （なめがわおおたき）は 山形県 米沢市 にある 滝 。 日本の滝百選 の一つ。 落差80m、幅40mと、東北地方でも最大クラスの滝。 阿武隈川 の支流・ 松川 の上流、 標高 860m付近に位置する。 地質 は 流紋岩 層で、付近には潜滝などいくつかの滝がある。 展望台から向かって滝の右上方向に、布引の滝と呼ばれる滝が現れることがあるが、雪解け時等の水量の多い時にしか見られない。","https://ja.wikipedia.org/wiki/滑川大滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯37度46分58秒東経140度13分42秒","山形県米沢市大字大沢","北緯37度46分58秒東経140度13分42秒﻿ / ﻿北緯37.78278度 東経140.22833度﻿ /37.78278; 140.22833","80m","阿武隈川水系松川","40m","","","","","","","","","","","","","",""
"白糸の滝","[17白糸の滝戸沢村] 白糸の滝 （しらいとのたき）は 山形県 最上郡 戸沢村 にある 滝 。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/白糸の滝_(山形県)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯38度46分2.84秒東経140度3分24.95秒","山形県最上郡戸沢村古口","北緯38度46分2.84秒東経140度3分24.95秒﻿ / ﻿北緯38.7674556度 東経140.0569306度﻿ /38.7674556; 140.0569306","120m","最上川水系","","","","","","","","","","","","","","",""
"七ツ滝","[18七ツ滝鶴岡市] 七ツ滝 （ななつたき）は、 山形県 鶴岡市 にある 滝 。 梵字川 の 支流 である田麦川にあり、 月山ダム のやや上流に位置する。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/七ツ滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯38度33分48.10秒東経139度55分16.47秒","山形県鶴岡市大字田麦俣字七ツ滝","北緯38度33分48.10秒東経139度55分16.47秒﻿ / ﻿北緯38.5633611度 東経139.9212417度﻿ /38.5633611; 139.9212417","90m","赤川水系","","","","","","","","","","","","","","",""
"乙字ケ滝","[19乙字ケ滝福島県須賀川市] 乙字ケ滝 （おつじがたき）は、 福島県 須賀川市 と 石川郡 玉川村 の間を流れる 阿武隈川 にかかる 滝 。 日本の滝百選 の一つにも選ばれている。","https://ja.wikipedia.org/wiki/乙字ケ滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯37度14分52秒東経140度23分30秒","福島県須賀川市","北緯37度14分52秒東経140度23分30秒﻿ / ﻿北緯37.24778度 東経140.39167度﻿ /37.24778; 140.39167","6m","阿武隈川","100m","","","","","","","","","","","","","",""
"三条の滝","[20三条の滝檜枝岐村] 三条の滝 （さんじょうのたき）とは、 尾瀬 を源流とし、尾瀬ヶ原から流れ落ちる 只見川 の上流にある 滝 である。","https://ja.wikipedia.org/wiki/三条の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度57分55.92秒東経139度15分0.31秒","日本福島県南会津郡檜枝岐村字燧ケ岳","北緯36度57分55.92秒東経139度15分0.31秒﻿ / ﻿北緯36.9655333度 東経139.2500861度﻿ /36.9655333; 139.2500861座標:北緯36度57分55.92秒東経139度15分0.31秒﻿ / ﻿北緯36.9655333度 東経139.2500861度﻿ /36.9655333; 139.2500861","100m","阿賀野川水系只見川","20-30m","","","","","","","","","","","","","",""
"銚子ケ滝","[21銚子ケ滝郡山市] 銚子ケ滝 （ちょうしがたき）は、 福島県 郡山市 熱海町 石筵の 安達太良山 麓にある 滝 。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/銚子ケ滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯37度35分01秒東経140度15分53秒","福島県郡山市熱海町","北緯37度35分01秒東経140度15分53秒﻿ / ﻿北緯37.58361度 東経140.26472度﻿ /37.58361; 140.26472","48m","阿武隈川水系五百川の支流・石筵川","27m","","","","","","","","","","","","","",""
"袋田の滝","[22袋田の滝茨城県大子町] 袋田の滝 （ふくろだのたき）は、 茨城県 久慈郡 大子町 袋田にある 滝 。位置は、 久慈川 支流の滝川上流にあたり、長さ120メートル、幅73メートル   。冬は「氷瀑」と呼ばれる、滝が凍結する現象が発生することがある  。","https://ja.wikipedia.org/wiki/袋田の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度45分51.1秒東経140度24分26.5秒","茨城県久慈郡大子町袋田","北緯36度45分51.1秒東経140度24分26.5秒﻿ / ﻿北緯36.764194度 東経140.407361度﻿ /36.764194; 140.407361","","久慈川水系滝川","73m","","","","","","","","","","","","","",""
"華厳滝","[23華厳滝栃木県日光市] 華厳滝 （けごんのたき、華厳の滝、華厳ノ滝）は、 栃木県 日光市 にある 滝 。発見者は 勝道 上人と伝えられ、 仏教 経典の1つである 華厳経 から名づけられたといわれる。 華厳渓谷 周辺では他に阿含滝、方等滝、般若滝、涅槃滝もあることから、 五時の教判 から、それらと同様に命名されたものと考えられている   。","https://ja.wikipedia.org/wiki/華厳滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度44分16.5秒東経139度30分07.1秒","栃木県日光市","北緯36度44分16.5秒東経139度30分07.1秒﻿ / ﻿北緯36.737917度 東経139.501972度﻿ /36.737917; 139.501972座標:北緯36度44分16.5秒東経139度30分07.1秒﻿ / ﻿北緯36.737917度 東経139.501972度﻿ /36.737917; 139.501972","97m","利根川水系大谷川","7m","","","","","","","","","","","","","",""
"霧降の滝","[24霧降の滝] 霧降ノ滝 （きりふりのたき）は 栃木県 日光市 の、 利根川 水系の板穴川の支流・霧降川にある 滝 。滝名の由来は、落下する間に水が飛び散って霧のようになる事とされる。 華厳滝 、 裏見滝 とともに 日光三名瀑 の一つ。また、 日本の滝百選 にも選ばれている。","https://ja.wikipedia.org/wiki/霧降の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度46分49.19秒東経139度37分25.47秒","栃木県日光市所野","北緯36度46分49.19秒東経139度37分25.47秒﻿ / ﻿北緯36.7803306度 東経139.6237417度﻿ /36.7803306; 139.6237417","75m","利根川","3～15m","","","","","","","","","","","","","",""
"吹割の滝","[25吹割の滝群馬県沼田市] 吹割の滝 （ふきわれのたき）は、 群馬県 沼田市 にある 滝 。高さ7メートル、幅30メートル。奇岩が1.5キロメートルに渡って続く 片品渓谷 （吹割渓谷）にかかる。河床を割くように流れ、そこから 水しぶき が吹き上げる様子からこの名が付けられた。 2000年 の NHK 大河ドラマ 『 葵 徳川三代 』のオープニングにも登場した。 1936年 12月16日 に 旧文部省 より、 天然記念物 および 名勝 に指定されている（「 吹割渓ならびに吹割瀑 」）。","https://ja.wikipedia.org/wiki/吹割の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度42分7.8秒東経139度12分26.7秒","日本群馬県沼田市利根町追貝","北緯36度42分7.8秒東経139度12分26.7秒﻿ / ﻿北緯36.702167度 東経139.207417度﻿ /36.702167; 139.207417","7m","利根川水系泙川","30m","","","","","","","","","","","","","",""
"常布の滝","[26常布の滝草津町] 常布の滝 （じょうふのたき）は、 群馬県 草津町 草津にある 滝 。 日本の滝百選 の一つに選ばれている。落差は40メートルあり、直瀑。岩肌が特徴的で、赤、黒等の色をした岩と緑の苔が独特の景観を作っている。滝左上部には浸食によって削られた穴があり、鍾乳石のようにつらら状に垂れ下がった岩が見られる。滝壺は大きくはないが、滝前はかなり広く開けている。新緑や紅葉の時期はなお一層映える景観となる。","https://ja.wikipedia.org/wiki/常布の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度38分42秒東経138度33分48.8秒","群馬県草津町","北緯36度38分42秒東経138度33分48.8秒﻿ / ﻿北緯36.64500度 東経138.563556度﻿ /36.64500; 138.563556座標:北緯36度38分42秒東経138度33分48.8秒﻿ / ﻿北緯36.64500度 東経138.563556度﻿ /36.64500; 138.563556","40m","利根川水系湯川大沢川","","","","","","","","","","","","","","",""
"棚下の不動滝","[27棚下の不動滝渋川市] 棚下不動滝 （たなしたふどうたき、 棚下不動の滝 、 棚下の不動滝 、または単に 不動滝 ）は、 群馬県 渋川市 赤城町棚下にある 滝 。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/棚下の不動滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度34分17.9秒東経139度3分32.7秒","群馬県渋川市赤城町棚下","北緯36度34分17.9秒東経139度3分32.7秒﻿ / ﻿北緯36.571639度 東経139.059083度﻿ /36.571639; 139.059083座標:北緯36度34分17.9秒東経139度3分32.7秒﻿ / ﻿北緯36.571639度 東経139.059083度﻿ /36.571639; 139.059083","37m","利根川水系支流","2m","","","","","","","","","","","","","",""
"丸神の滝","[28丸神の滝埼玉県小鹿野町] 丸神の滝 （まるがみのたき）または 丸神の蒲 とは、 埼玉県 秩父郡 小鹿野町 にある 滝 。県内では唯一 日本の滝百選 に選ばれた滝である。","https://ja.wikipedia.org/wiki/丸神の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度59分38.98秒東経138度52分55.53秒","埼玉県秩父郡小鹿野町両神小森","北緯35度59分38.98秒東経138度52分55.53秒﻿ / ﻿北緯35.9941611度 東経138.8820917度﻿ /35.9941611; 138.8820917","76m","小森川水系","","","","","","","","","","","","","","",""
"払沢の滝","[29払沢の滝東京都檜原村] 払沢の滝 （ほっさわのたき）は、 東京都 西多摩郡 檜原村 にある 滝 。 拂沢の滝 とも表記される。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/払沢の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度43分38秒東経139度08分19秒","東京都西多摩郡檜原村","北緯35度43分38秒東経139度08分19秒﻿ / ﻿北緯35.72722度 東経139.13861度﻿ /35.72722; 139.13861","60m","多摩川水系北秋川","--m","","","","","","","","","","","","","",""
"早戸大滝","[30早戸大滝神奈川県相模原市緑区] 早戸大滝 （はやとおおたき）は、 丹沢大山国定公園 内、 神奈川県 相模原市 緑区 、 早戸川 源流部の大滝沢にある落差約50mの 滝 である。 日本の滝百選 に選ばれていることから名前はよく知られているが、一方で 幻の大滝 と呼ばれるように、滝までの行程が大変な為この滝を訪れる人は稀である。","https://ja.wikipedia.org/wiki/早戸大滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度29分16秒東経139度9分39秒","神奈川県相模原市緑区鳥屋","北緯35度29分16秒東経139度9分39秒﻿ / ﻿北緯35.48778度 東経139.16083度﻿ /35.48778; 139.16083","50m","相模川水系大滝沢","","","","","","","","","","","","","","",""
"洒水の滝","[31洒水の滝山北町] 洒水の滝 （しゃすいのたき）は、 神奈川県 足柄上郡 山北町 にある 二級河川 酒匂川 水系 滝沢川にある 滝 で、滝沢川とともに 洒水の滝・滝沢川 として 1985年 （昭和60年） 名水百選  に選ばれるとともに、洒水の滝は 日本の滝百選 ・「 かながわの景勝50選 」  ・「かながわ未来遺産100」にも選定されている。","https://ja.wikipedia.org/wiki/洒水の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度21分8秒東経139度3分42秒","神奈川県足柄上郡山北町平山地内","北緯35度21分8秒東経139度3分42秒﻿ / ﻿北緯35.35222度 東経139.06167度﻿ /35.35222; 139.06167座標:北緯35度21分8秒東経139度3分42秒﻿ / ﻿北緯35.35222度 東経139.06167度﻿ /35.35222; 139.06167","69m","酒匂川水系滝沢川","--m","","","","","","","","","","","","","",""
