"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","落差","水系","滝幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"中の滝","[65中の滝上北山村] 中の滝 （なかのたき）は、 奈良県 吉野郡 上北山村 にある 東ノ川 の滝である。標高約1233m。","https://ja.wikipedia.org/wiki/中の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度11分0.3秒東経136度4分50.43秒","奈良県吉野郡上北山村","北緯34度11分0.3秒東経136度4分50.43秒﻿ / ﻿北緯34.183417度 東経136.0806750度﻿ /34.183417; 136.0806750座標:北緯34度11分0.3秒東経136度4分50.43秒﻿ / ﻿北緯34.183417度 東経136.0806750度﻿ /34.183417; 136.0806750","250m","新宮川水系北山川支流の東ノ川","","","","","","","","","","","","","","",""
"那智滝","[66那智滝和歌山県那智勝浦町] 那智滝 （なちのたき）は、 和歌山県 東牟婁郡 那智勝浦町 の 那智川 中流にかかる 滝 。石英 斑岩 からなるほとんど垂直の断崖に沿って落下し、落ち口の幅13 メートル 、滝壺までの落差は133メートルに達し、その姿は 熊野灘 からも望見することができる  。総合落差では日本12位だが、一段の滝としては落差日本1位。 華厳滝 と共に 日本三名瀑 に数えられている。","https://ja.wikipedia.org/wiki/那智滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度40分31秒東経135度53分15秒","和歌山県那智勝浦町","北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750座標:北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750","133m","那智川","13m","","","","","","","","","","","","","",""
"桑ノ木の滝","[67桑ノ木の滝新宮市] 桑ノ木の滝 （くわのきのたき）は、 和歌山県 新宮市 にある 滝 で、 日本の滝百選 の1つである。","https://ja.wikipedia.org/wiki/桑ノ木の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度43分20秒東経135度56分9.6秒","和歌山県新宮市","北緯33度43分20秒東経135度56分9.6秒﻿ / ﻿北緯33.72222度 東経135.936000度﻿ /33.72222; 135.936000","21m","高田川","8m","","","","","","","","","","","","","",""
"八草の滝","[68八草の滝白浜町] 八草の滝 （はそのたき）は、 和歌山県 西牟婁郡 白浜町 の 大塔日置川県立自然公園 内にあり、 日本の滝百選 に選ばれた。","https://ja.wikipedia.org/wiki/八草の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度38分46秒東経135度28分43秒","和歌山県西牟婁郡白浜町","北緯33度38分46秒東経135度28分43秒﻿ / ﻿北緯33.64611度 東経135.47861度﻿ /33.64611; 135.47861座標:北緯33度38分46秒東経135度28分43秒﻿ / ﻿北緯33.64611度 東経135.47861度﻿ /33.64611; 135.47861","22m","日置川","","","","","","","","","","","","","","",""
"大山滝","[69大山滝鳥取県琴浦町] 大山滝 （だいせんたき）は 鳥取県 東伯郡 琴浦町 野井倉にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/大山滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度22分28秒東経133度35分42秒","鳥取県琴浦町","北緯35度22分28秒東経133度35分42秒﻿ / ﻿北緯35.37444度 東経133.59500度﻿ /35.37444; 133.59500","42m","加勢蛇川","4m","","","","","","","","","","","","","",""
"雨滝","[70雨滝鳥取市] 雨滝 （あめだき）は、 鳥取県 鳥取市 国府町にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/雨滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度28分42秒東経134度24分15秒","鳥取県鳥取市","北緯35度28分42秒東経134度24分15秒﻿ / ﻿北緯35.47833度 東経134.40417度﻿ /35.47833; 134.40417","40m","千代川水系雨滝川","4m","","","","","","","","","","","","","",""
"壇鏡の滝","[71壇鏡の滝島根県隠岐の島町] 壇鏡の滝 （だんぎょうのたき）は、 隠岐諸島 の 島後島 （ 島根県 隠岐郡 隠岐の島町 ）にある横尾山を源流とする那久川の 滝 である。","https://ja.wikipedia.org/wiki/壇鏡の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯36度14分26秒東経133度14分10秒","島根県隠岐郡隠岐の島町","北緯36度14分26秒東経133度14分10秒﻿ / ﻿北緯36.24056度 東経133.23611度﻿ /36.24056; 133.23611","40m","那久川","","","","","","","","","","","","","","",""
"龍頭八重滝","[72龍頭八重滝雲南市] 龍頭ヶ滝 （りゅうずがたき）は、雲南市掛合町松笠にある 滝 。","https://ja.wikipedia.org/wiki/龍頭八重滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度11分43秒東経132度47分4秒","島根県雲南市","北緯35度11分43秒東経132度47分4秒﻿ / ﻿北緯35.19528度 東経132.78444度﻿ /35.19528; 132.78444","40m","斐伊川水系滝谷川","","","","","","","","","","","","","","",""
"神庭の滝","[73神庭の滝岡山県真庭市] 神庭の滝 （かんばのたき）は 岡山県 真庭市 神庭にある 滝 。国の 名勝 に指定されており（指定名称は「 神庭瀑 」）、 日本百景 、 日本の滝百選 にも選定されている。また周囲は岡山県立自然公園に指定されている。","https://ja.wikipedia.org/wiki/神庭の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯35度7分7.0秒東経133度40分43.6秒","岡山県真庭市","北緯35度7分7.0秒東経133度40分43.6秒﻿ / ﻿北緯35.118611度 東経133.678778度﻿ /35.118611; 133.678778座標:北緯35度7分7.0秒東経133度40分43.6秒﻿ / ﻿北緯35.118611度 東経133.678778度﻿ /35.118611; 133.678778","110m","旭川水系神庭川","20m","","","","","","","","","","","","","",""
"常清滝","[74常清滝広島県三次市] 常清滝 （じょうせいだき）は、 広島県 三次市 作木町 下作木にある 滝 。 1990年 4月に、広島県で唯一日本の滝百選にも選ばれている。 江の川 の支流、作木川のさらに支流にかかる滝である。周りはうっそうとしたケヤキ、アベマキ、コナラを主とした落葉広葉樹で覆われ広島県の 自然環境保全地域 にも指定され緑と渓流の美しい環境が保たれている。 昭和35年8月25日に広島県の名勝に指定されている。","https://ja.wikipedia.org/wiki/常清滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度51分47.9秒東経132度43分34.42秒","広島県三次市","北緯34度51分47.9秒東経132度43分34.42秒﻿ / ﻿北緯34.863306度 東経132.7262278度﻿ /34.863306; 132.7262278","126m","江の川水系作木川","","","","","","","","","","","","","","",""
"寂地峡五竜の滝","[75寂地峡五竜の滝山口県岩国市] 犬戻峡にある犬戻十八滝のうち、特に 龍 の名を冠した5つの滝は総称して 寂地峡五竜の滝 と呼ばれ、 日本の滝百選 に選定されている。滝は川上より順に以下の通りである。","https://ja.wikipedia.org/wiki/寂地峡五竜の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯34度25分50.57秒東経132度3分19.84秒","山口県岩国市錦町宇佐","北緯34度25分50.57秒東経132度3分19.84秒﻿ / ﻿北緯34.4307139度 東経132.0555111度﻿ /34.4307139; 132.0555111座標:北緯34度25分50.57秒東経132度3分19.84秒﻿ / ﻿北緯34.4307139度 東経132.0555111度﻿ /34.4307139; 132.0555111","（龍頭の滝）14m","錦川水系宇佐川","","","","","","","","","","","","","","",""
"大釜の滝","[76大釜の滝徳島県那賀町] 大釜の滝 （おおがまのたき）は、 徳島県 那賀郡 那賀町 にある 滝 。 日本の滝百選 、 とくしま88景 、 とくしま水紀行50選 に選定されている。","https://ja.wikipedia.org/wiki/大釜の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度52分56秒東経134度16分55秒","徳島県那賀町","北緯33度52分56秒東経134度16分55秒﻿ / ﻿北緯33.88222度 東経134.28194度﻿ /33.88222; 134.28194座標:北緯33度52分56秒東経134度16分55秒﻿ / ﻿北緯33.88222度 東経134.28194度﻿ /33.88222; 134.28194","20m","那賀川水系釜ヶ谷川","","","","","","","","","","","","","","",""
"轟九十九滝","[77轟九十九滝海陽町] 轟九十九滝 （とどろきくじゅうくたき）は、 徳島県 海部郡 海陽町 にある 王余魚谷川 の 滝 。 日本の滝百選 、 四国のみずべ八十八カ所 に選定されている。","https://ja.wikipedia.org/wiki/轟九十九滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度41分52.1秒東経134度15分15.49秒","徳島県海陽町平井王余魚谷","北緯33度41分52.1秒東経134度15分15.49秒﻿ / ﻿北緯33.697806度 東経134.2543028度﻿ /33.697806; 134.2543028座標:北緯33度41分52.1秒東経134度15分15.49秒﻿ / ﻿北緯33.697806度 東経134.2543028度﻿ /33.697806; 134.2543028","(本滝)58m","海部川水系王余魚谷川","(本滝)5m","","","","","","","","","","","","","",""
"雨乞の滝","[78雨乞の滝神山町] 雨乞の滝 （あまごいのたき）は、 徳島県 名西郡 神山町 にある 滝 。 日本の滝百選 、 四国のみずべ八十八カ所 、 とくしま88景 、 とくしま水紀行50選 に選定されている。","https://ja.wikipedia.org/wiki/雨乞の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度57分3.24秒東経134度20分7.29秒","徳島県神山町","北緯33度57分3.24秒東経134度20分7.29秒﻿ / ﻿北緯33.9509000度 東経134.3353583度﻿ /33.9509000; 134.3353583","(雌滝)45m","吉野川水系高根谷川","","","","","","","","","","","","","","",""
"雪輪の滝","[79雪輪の滝愛媛県宇和島市] 雪輪の滝 （ゆきわのたき）は 愛媛県 宇和島市 野川の 滑床渓谷 にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/雪輪の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度12分1.18秒東経132度38分51.71秒","愛媛県宇和島市","北緯33度12分1.18秒東経132度38分51.71秒﻿ / ﻿北緯33.2003278度 東経132.6476972度﻿ /33.2003278; 132.6476972","300m","四万十川水系目黒川支流","20m","","","","","","","","","","","","","",""
"御来光の滝","[80御来光の滝久万高原町] 御来光の滝 （ごらいこうのたき）とは、 愛媛県 上浮穴郡 久万高原町 にある滝。","https://ja.wikipedia.org/wiki/御来光の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度45分38秒東経133度6分42秒","愛媛県上浮穴郡久万高原町","北緯33度45分38秒東経133度6分42秒﻿ / ﻿北緯33.76056度 東経133.11167度﻿ /33.76056; 133.11167座標:北緯33度45分38秒東経133度6分42秒﻿ / ﻿北緯33.76056度 東経133.11167度﻿ /33.76056; 133.11167","102m","仁淀川","","","","","","","","","","","","","","",""
"龍王の滝","[81龍王の滝高知県大豊町] 龍王の滝 （りゅうおうのたき）は、 高知県 長岡郡 大豊町 佐賀山にある 滝 。 日本の滝百選 、高知県の名水40選に選定されている。","https://ja.wikipedia.org/wiki/龍王の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度46分11秒東経133度45分43秒","高知県長岡郡大豊町","北緯33度46分11秒東経133度45分43秒﻿ / ﻿北緯33.76972度 東経133.76194度﻿ /33.76972; 133.76194","20m","吉野川支流 南小川水系佐賀山川","","","","","","","","","","","","","","",""
"轟の滝","[82轟の滝香美市] 轟の滝 （とどろのたき）は、 高知県 香美市 香北町 にある 滝 。 県指定名勝 であり、 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/轟の滝_(高知県)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度42分43.11秒東経133度50分3.04秒","高知県香美市","北緯33度42分43.11秒東経133度50分3.04秒﻿ / ﻿北緯33.7119750度 東経133.8341778度﻿ /33.7119750; 133.8341778","83m","物部川水系日比原川","5m","","","","","","","","","","","","","",""
"大樽の滝","[83大樽の滝越知町] 大樽の滝 （おおたるのたき）は 高知県 高岡郡 越知町 山室字大樽にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/大樽の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度31分2.15秒東経133度14分38.52秒","高知県高岡郡越知町","北緯33度31分2.15秒東経133度14分38.52秒﻿ / ﻿北緯33.5172639度 東経133.2440333度﻿ /33.5172639; 133.2440333","34m","仁淀川支流大桐川水系大樽谷川","","","","","","","","","","","","","","",""
"観音の滝","[84観音の滝佐賀県唐津市] 観音の滝 （かんのんのたき）は、 佐賀県 唐津市 にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/観音の滝_(佐賀県)","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度26分6.26秒東経130度7分48.47秒","佐賀県唐津市七山滝川","北緯33度26分6.26秒東経130度7分48.47秒﻿ / ﻿北緯33.4350722度 東経130.1301306度﻿ /33.4350722; 130.1301306","45m","玉島川水系滝川川","10m","","","","","","","","","","","","","",""
"見帰りの滝","[85見帰りの滝] 見帰りの滝 （みかえりのたき）は、 佐賀県 唐津市 相知町 の 天山県立自然公園 内にある 滝 。 日本の滝百選 に選ばれた。","https://ja.wikipedia.org/wiki/見帰りの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度22分4.0秒東経130度2分22.3秒","佐賀県唐津市相知町伊岐佐","北緯33度22分4.0秒東経130度2分22.3秒﻿ / ﻿北緯33.367778度 東経130.039528度﻿ /33.367778; 130.039528","100m","左伊岐佐川","","","","","","","","","","","","","","",""
"四十三万滝","[86四十三万滝熊本県菊池市] 一帯は 阿蘇外輪山 を取り囲む モミ 、 ツガ 、 ケヤキ など 広葉樹 の 原生林 に覆われている。「渓谷美の極致」と言われた状態で残っており、 阿蘇くじゅう国立公園 の特別保護地区、 菊池水源 として 名水100選 に選定されている  。また、 くまもと自然休養林菊池渓谷 として 森林浴の森百選 や  、 菊池渓谷自然休養林 として 水源の森百選 等に選定されている。","https://ja.wikipedia.org/wiki/菊池渓谷","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度54分0秒東経130度54分0秒","熊本県菊池市","北緯32度54分0秒東経130度54分0秒﻿ / ﻿北緯32.90000度 東経130.90000度﻿ /32.90000; 130.90000座標:北緯32度54分0秒東経130度54分0秒﻿ / ﻿北緯32.90000度 東経130.90000度﻿ /32.90000; 130.90000","15m","菊池川水系本流菊池渓谷","25m","","","","","","","","","","","","","",""
"栴檀轟の滝","[87栴檀轟の滝八代市] 栴檀轟の滝 （せんだんとどろのたき）は、 熊本県 八代市 の 九州中央山地国定公園 ・熊本県立自然公園内にあり、 日本の滝百選 に選ばれた。","https://ja.wikipedia.org/wiki/栴檀轟の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度31分17.2秒東経130度53分20.2秒","熊本県八代市泉町柿迫","北緯32度31分17.2秒東経130度53分20.2秒﻿ / ﻿北緯32.521444度 東経130.888944度﻿ /32.521444; 130.888944","70m","球磨川水系川辺川","","","","","","","","","","","","","","",""
"数鹿流ヶ滝","[88数鹿流ヶ滝南阿蘇村] 数鹿流ヶ滝 （すがるがたき）は 熊本県 阿蘇郡 南阿蘇村 にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/数鹿流ヶ滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度53分17.2秒東経130度59分20.4秒","熊本県阿蘇郡南阿蘇村立野","北緯32度53分17.2秒東経130度59分20.4秒﻿ / ﻿北緯32.888111度 東経130.989000度﻿ /32.888111; 130.989000","60m","白川水系黒川","20m","","","","","","","","","","","","","",""
"鹿目の滝","[89鹿目の滝人吉市] 鹿目の滝 （かなめのたき）は、雄滝、雌滝、平滝からなり、 熊本県 人吉市 にある。 日本の滝百選 に選ばれ、鹿目八重滝とも呼ばれる。","https://ja.wikipedia.org/wiki/鹿目の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度11分39秒東経130度41分41.2秒","熊本県人吉市","北緯32度11分39秒東経130度41分41.2秒﻿ / ﻿北緯32.19417度 東経130.694778度﻿ /32.19417; 130.694778","36m","鹿目川","","","","","","","","","","","","","","",""
"東椎屋の滝","[90東椎屋の滝大分県宇佐市] 東椎屋の滝 （ひがししいやのたき）、 大分県 宇佐市 安心院町 にある 滝 。 日本の滝百選 に選ばれている。","https://ja.wikipedia.org/wiki/東椎屋の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度21分34秒東経131度23分2.6秒","大分県宇佐市","北緯33度21分34秒東経131度23分2.6秒﻿ / ﻿北緯33.35944度 東経131.384056度﻿ /33.35944; 131.384056","85m","駅館川水系滝川","5m","","","","","","","","","","","","","",""
"原尻の滝","[91原尻の滝豊後大野市] 原尻の滝 （はらじりのたき）は、 大分県 豊後大野市 緒方町原尻の 大野川 水系 緒方川 にある 滝 。 日本の滝百選 に選ばれている。","https://ja.wikipedia.org/wiki/原尻の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度57分50秒東経131度27分4秒","大分県豊後大野市緒方町原尻","北緯32度57分50秒東経131度27分4秒﻿ / ﻿北緯32.96389度 東経131.45111度﻿ /32.96389; 131.45111座標:北緯32度57分50秒東経131度27分4秒﻿ / ﻿北緯32.96389度 東経131.45111度﻿ /32.96389; 131.45111","20m","大野川","120m","","","","","","","","","","","","","",""
"震動の滝","[92震動の滝九重町] 震動の滝 （しんどうのたき）は、 大分県 玖珠郡 九重町 にある 滝 。 日本の滝百選 に選ばれている。","https://ja.wikipedia.org/wiki/震動の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度10分8.9秒東経131度13分32秒","大分県玖珠郡九重町","北緯33度10分8.9秒東経131度13分32秒﻿ / ﻿北緯33.169139度 東経131.22556度﻿ /33.169139; 131.22556","83m","筑後川水系鳴子川","7m","","","","","","","","","","","","","",""
"西椎屋の滝","[93西椎屋の滝玖珠町] 西椎屋の滝 （にししいやのたき）は、 大分県 玖珠郡 玖珠町 の 宇佐市 院内町 との境界付近にある 滝 である。 日本の滝百選 に選ばれている。","https://ja.wikipedia.org/wiki/西椎屋の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯33度21分18秒東経131度15分2秒","大分県玖珠郡玖珠町・宇佐市","北緯33度21分18秒東経131度15分2秒﻿ / ﻿北緯33.35500度 東経131.25056度﻿ /33.35500; 131.25056","83m","日出生川","","","","","","","","","","","","","","",""
"関之尾滝","[94関之尾滝宮崎県都城市] 関之尾滝 （せきのおのたき）は、 宮崎県 都城市 関之尾町にある 滝 。 日本の滝百選 の一つ。 母智丘・関之尾県立自然公園 に属する。","https://ja.wikipedia.org/wiki/関之尾滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯31度45分40秒東経130度59分14秒","都城市（宮崎県、日本）","北緯31度45分40秒東経130度59分14秒﻿ / ﻿北緯31.76111度 東経130.98722度﻿ /31.76111; 130.98722﻿ (関之尾滝)座標:北緯31度45分40秒東経130度59分14秒﻿ / ﻿北緯31.76111度 東経130.98722度﻿ /31.76111; 130.98722﻿ (関之尾滝)","18m","大淀川水系庄内川","40m","","","","","","","","","","","","","",""
"矢研の滝","[95矢研の滝都農町] 矢研の滝 （やとぎのたき）は 宮崎県 児湯郡 都農町 にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/矢研の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度17分35秒東経131度28分14秒","宮崎県児湯郡都農町尾鈴","北緯32度17分35秒東経131度28分14秒﻿ / ﻿北緯32.29306度 東経131.47056度﻿ /32.29306; 131.47056","73m","名貫川","","","","","","","","","","","","","","",""
"行縢（むかばき）の滝","[96行縢（むかばき）の滝延岡市] むかばきの滝 （むかばきのたき）通称 行縢の滝 は、 宮崎県 延岡市 行縢町の行縢川にかかる 日本の滝百選 に選定されている 滝 である。 祖母傾国定公園 および 祖母傾県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/むかばきの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度37分31秒東経131度34分52秒","宮崎県延岡市","北緯32度37分31秒東経131度34分52秒﻿ / ﻿北緯32.62528度 東経131.58111度﻿ /32.62528; 131.58111","77m","五ヶ瀬川水系行縢川","30m","","","","","","","","","","","","","",""
"真名井の滝","[97真名井の滝高千穂町] 真名井の滝 （まないのたき）は、高千穂峡の川幅が狭まった部分に流れ落ちる 滝 である。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/高千穂峡#真名井の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯32度42分3秒東経131度18分2秒","宮崎県高千穂町","北緯32度42分3秒東経131度18分2秒﻿ / ﻿北緯32.70083度 東経131.30056度﻿ /32.70083; 131.30056","17m","五ヶ瀬川","","","","","","","","","","","","","","",""
"龍門滝","[98龍門滝鹿児島県姶良市] 龍門滝 （りゅうもんだき）は、 鹿児島県 姶良市 加治木町 を流れる 網掛川 中流にある高さ46メートル、幅43メートルの 滝 。 日本の滝百選 に選ばれている。「 龍門の滝 」（りゅうもんのたき）とも呼ばれる。","https://ja.wikipedia.org/wiki/龍門滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯31度45分09秒東経130度40分07秒","鹿児島県姶良市加治木町","北緯31度45分09秒東経130度40分07秒﻿ / ﻿北緯31.75250度 東経130.66861度﻿ /31.75250; 130.66861","46m","網掛川","43m","","","","","","","","","","","","","",""
"大川の滝","[99大川の滝屋久島町] 大川の滝 （おおこのたき）は、 屋久島 にある 滝 。 日本の滝百選 に選定されている。","https://ja.wikipedia.org/wiki/大川の滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯30度17分59.95秒東経130度24分50.89秒","鹿児島県熊毛郡屋久島町栗生","北緯30度17分59.95秒東経130度24分50.89秒﻿ / ﻿北緯30.2999861度 東経130.4141361度﻿ /30.2999861; 130.4141361","88m","大川","","","","","","","","","","","","","","",""
"マリユドゥの滝","[100マリユドゥの滝沖縄県竹富町] マリユドゥの滝 （マリユドゥのたき）は、 沖縄県 八重山郡 竹富町 の 西表島 を流れる 浦内川 にある 滝 である。 日本の滝百選 に選ばれている  。","https://ja.wikipedia.org/wiki/マリユドゥの滝","日本の滝百選","https://ja.wikipedia.org/wiki/日本の滝百選","表形式","北緯24度21分25.9秒東経123度48分11.5秒","沖縄県八重山郡竹富町上原870-3","北緯24度21分25.9秒東経123度48分11.5秒﻿ / ﻿北緯24.357194度 東経123.803194度﻿ /24.357194; 123.803194﻿ (マリユドゥの滝)座標:北緯24度21分25.9秒東経123度48分11.5秒﻿ / ﻿北緯24.357194度 東経123.803194度﻿ /24.357194; 123.803194﻿ (マリユドゥの滝)","16m","浦内川","20m","","","","","","","","","","","","","",""
