"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","種類","本社所在地","設立","業種","法人番号","事業内容"
"糠沢駅","糠沢駅（ぬかざわえき）","https://ja.wikipedia.org/wiki/糠沢駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯40度15分3.93秒東経140度23分52.17秒","■奥羽本線","388.1 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1956年（昭和31年）12月3日[1]","2面2線[1]","秋田県北秋田市綴子字下谷地[1]北緯40度15分3.93秒東経140度23分52.17秒座標:北緯40度15分3.93秒 東経140度23分52.17秒","無人駅[1]","ヌサ","","","","","","","","","",""
"額住宅前駅","額住宅前駅（ぬかじゅうたくまええき）","https://ja.wikipedia.org/wiki/額住宅前駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度31分5.92秒東経136度37分8.03秒","■石川線","6.1 km（野町起点）","北陸鉄道","地上駅","1915年（大正4年）6月22日","島式 1面2線","石川県金沢市額新町1丁目20北緯36度31分5.92秒東経136度37分8.03秒﻿ / ﻿北緯36.5183111度 東経136.6188972度﻿ /36.5183111; 136.6188972座標:北緯36度31分5.92秒東経136度37分8.03秒﻿ / ﻿北緯36.5183111度 東経136.6188972度﻿ /36.5183111; 136.6188972","","","","○I08","357人/日-2017年-","","","","","","",""
"額田駅 (大阪府)","額田駅 (大阪府)（ぬかたえき・近畿日本鉄道奈良線）","https://ja.wikipedia.org/wiki/額田駅_(大阪府)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度40分32.45秒東経135度39分4.89秒","A奈良線","9.0km（布施起点）大阪難波から15.1 km","近畿日本鉄道（近鉄）","地上駅","1920年（大正9年）7月13日","2面2線","大阪府東大阪市山手町2-10北緯34度40分32.45秒東経135度39分4.89秒﻿ / ﻿北緯34.6756806度 東経135.6513583度﻿ /34.6756806; 135.6513583座標:北緯34度40分32.45秒東経135度39分4.89秒﻿ / ﻿北緯34.6756806度 東経135.6513583度﻿ /34.6756806; 135.6513583","","ヌカタ",""," A15 ","3,490人/日-2018年-","","","","","","",""
"額田駅 (茨城県)","額田駅 (茨城県)（ぬかだえき・東日本旅客鉄道水郡線）","https://ja.wikipedia.org/wiki/額田駅_(茨城県)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■水郡線（常陸太田支線）","3.6 km（上菅谷起点）水戸から13.7 km","東日本旅客鉄道（JR東日本）","地上駅","1897年（明治30年）11月16日","1面1線","","無人駅","ヌカ","","","","","","","","","",""
"糠南駅","糠南駅（ぬかなんえき）","https://ja.wikipedia.org/wiki/糠南駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯44度55分14.3秒東経142度0分2.8秒","■宗谷本線","178.0 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1955年（昭和30年）12月2日","1面1線","北海道天塩郡幌延町字問寒別北緯44度55分14.3秒東経142度0分2.8秒﻿ / ﻿北緯44.920639度 東経142.000778度﻿ /44.920639; 142.000778﻿ (糠南駅)座標:北緯44度55分14.3秒東経142度0分2.8秒﻿ / ﻿北緯44.920639度 東経142.000778度﻿ /44.920639; 142.000778﻿ (糠南駅)","無人駅","ヌナ","","○W67","","","","","","","",""
"温田駅","温田駅（ぬくたえき）","https://ja.wikipedia.org/wiki/温田駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度20分11.20秒東経137度50分28.98秒","CD飯田線","102.2 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1935年（昭和10年）11月15日[1]","1面2線[1]","長野県下伊那郡泰阜村温田[1]北緯35度20分11.20秒東経137度50分28.98秒﻿ / ﻿北緯35.3364444度 東経137.8413833度﻿ /35.3364444; 137.8413833座標:北緯35度20分11.20秒東経137度50分28.98秒﻿ / ﻿北緯35.3364444度 東経137.8413833度﻿ /35.3364444; 137.8413833","駅員無配置駅[1]標高：340m[1]","ヌク[1]","225人/日（降車客含まず）-2018年-","","","","","","","","",""
"生見駅","生見駅（ぬくみえき）","https://ja.wikipedia.org/wiki/生見駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯31度18分25.97秒東経130度34分39.85秒","指宿枕崎線","35.0 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","地上駅","1934年（昭和9年）12月19日","1面2線","鹿児島県鹿児島市喜入生見町2797北緯31度18分25.97秒東経130度34分39.85秒","無人駅","ヌク","69人/日（降車客含まず）-2015年-","","144人/日-2015年-","","","","","","",""
"抜里駅","抜里駅（ぬくりえき）","https://ja.wikipedia.org/wiki/抜里駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度57分12.21秒東経138度5分15.58秒","大井川本線","18.8 km（金谷起点）","大井川鐵道","地上駅","1930年（昭和5年）7月16日","単式 1面1線","静岡県島田市川根町抜里北緯34度57分12.21秒東経138度5分15.58秒﻿ / ﻿北緯34.9533917度 東経138.0876611度﻿ /34.9533917; 138.0876611座標:北緯34度57分12.21秒東経138度5分15.58秒﻿ / ﻿北緯34.9533917度 東経138.0876611度﻿ /34.9533917; 138.0876611","無人駅","","9人/日（降車客含まず）-2019年-","","19人/日-2019年-","","","","","","",""
"布市駅","布市駅（ぬのいちえき）","https://ja.wikipedia.org/wiki/布市駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度38分43.3秒東経137度14分7.3秒","■上滝線","3.2 km（南富山起点）","富山地方鉄道","地上駅","1921年（大正10年）4月25日","単式1面1線","富山県富山市布市747北緯36度38分43.3秒東経137度14分7.3秒﻿ / ﻿北緯36.645361度 東経137.235361度﻿ /36.645361; 137.235361﻿ (布市駅)座標:北緯36度38分43.3秒東経137度14分7.3秒﻿ / ﻿北緯36.645361度 東経137.235361度﻿ /36.645361; 137.235361﻿ (布市駅)","無人駅","","124人/日（降車客含まず）-2019年-","T65","256人/日-2019年-","","","","","","",""
"布崎駅","布崎駅（ぬのざきえき）","https://ja.wikipedia.org/wiki/布崎駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度27分0.89秒東経132度51分18秒","北松江線","14.5 km（電鉄出雲市起点）","一畑電車","地上駅","1915年（大正4年）2月4日","1面1線","島根県出雲市園町北緯35度27分0.89秒東経132度51分18秒座標:北緯35度27分0.89秒 東経132度51分18秒","無人駅","","65人/日（降車客含まず）-2018年-","10","139人/日-2018年-","","","","","","",""
"布師田駅","布師田駅（ぬのしだえき）","https://ja.wikipedia.org/wiki/布師田駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯33度34分32.68秒東経133度35分25.93秒","■土讃線（■TKTごめん・なはり線直通含む）","121.4 km（多度津起点）","四国旅客鉄道（JR四国）","高架駅","1952年（昭和27年）4月15日","1面1線","高知県高知市布師田北緯33度34分32.68秒東経133度35分25.93秒","無人駅（自動券売機 有）","ヌノ","","○D42","184[1]人/日-2019年-","","","","","","",""
"布忍駅","布忍駅（ぬのせえき）","https://ja.wikipedia.org/wiki/布忍駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度34分39.09秒東経135度32分22.18秒","F南大阪線","8.3 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","地上駅","1922年（大正11年）4月18日","2面2線","大阪府松原市北新町一丁目2-1北緯34度34分39.09秒東経135度32分22.18秒﻿ / ﻿北緯34.5775250度 東経135.5394944度﻿ /34.5775250; 135.5394944座標:北緯34度34分39.09秒東経135度32分22.18秒﻿ / ﻿北緯34.5775250度 東経135.5394944度﻿ /34.5775250; 135.5394944","","ヌノセ",""," F08 ","","","","","","","",""
"布原駅","布原駅（ぬのはらえき）","https://ja.wikipedia.org/wiki/布原駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度59分16.59秒東経133度25分18.35秒","V伯備線（P芸備線直通）*","68.3km（倉敷起点）**新見から3.9 km","西日本旅客鉄道（JR西日本）","地上駅","1987年（昭和62年）4月1日","2面2線","岡山県新見市西方字野々原3701-7北緯34度59分16.59秒東経133度25分18.35秒﻿ / ﻿北緯34.9879417度 東経133.4217639度﻿ /34.9879417; 133.4217639﻿ (布原駅)","無人駅","ヌノ","1人/日（降車客含まず）-2019年-","","","","","","","","",""
"布部駅","布部駅（ぬのべえき）","https://ja.wikipedia.org/wiki/布部駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯43度17分30.6秒東経142度24分1.25秒","■根室本線","60.9 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1927年（昭和2年）12月26日","1面1線","北海道富良野市字布部北緯43度17分30.6秒東経142度24分1.25秒﻿ / ﻿北緯43.291833度 東経142.4003472度﻿ /43.291833; 142.4003472﻿ (布部駅)","無人駅","ヌノ","","○T31","4人/日-2014年-","","","","","","",""
"沼久保駅","沼久保駅（ぬまくぼえき）","https://ja.wikipedia.org/wiki/沼久保駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度11分57.41秒東経138度35分3.55秒","CC身延線","16.9 km（富士起点）","東海旅客鉄道（JR東海）","地上駅","1929年（昭和4年）3月10日[1]","1面1線","静岡県富士宮市沼久保1065北緯35度11分57.41秒東経138度35分3.55秒","駅員無配置駅","ヌホ","6人/日（降車客含まず）-2019年-","","","","","","","","",""
"沼田駅","沼田駅（ぬまたえき）","https://ja.wikipedia.org/wiki/沼田駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度38分33.05秒東経139度2分8.64秒","■上越線","41.4 km（高崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1924年（大正13年）3月31日","2面3線","群馬県沼田市清水町3155北緯36度38分33.05秒東経139度2分8.64秒﻿ / ﻿北緯36.6425139度 東経139.0357333度﻿ /36.6425139; 139.0357333﻿ (沼田駅)座標:北緯36度38分33.05秒東経139度2分8.64秒﻿ / ﻿北緯36.6425139度 東経139.0357333度﻿ /36.6425139; 139.0357333﻿ (沼田駅)","業務委託駅みどりの窓口有","ヌタ","1,622人/日（降車客含まず）-2019年-","","","","","","","","",""
"沼津駅","沼津駅（ぬまづえき）","https://ja.wikipedia.org/wiki/沼津駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度6分11.1秒東経138度51分33.4秒","CA東海道本線（静岡地区）","126.2 km（東京起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","地上駅","1889年（明治22年）2月1日","3面6線","静岡県沼津市大手町一丁目1-1北緯35度6分11.1秒東経138度51分33.4秒﻿ / ﻿北緯35.103083度 東経138.859278度﻿ /35.103083; 138.859278﻿ (沼津駅)座標:北緯35度6分11.1秒東経138度51分33.4秒﻿ / ﻿北緯35.103083度 東経138.859278度﻿ /35.103083; 138.859278﻿ (沼津駅)","駅長配置駅（管理駅）JR全線きっぷうりば有","ヌマ","20,670人/日（降車客含まず）-2019年-","CA  03 ","","","","","","","",""
"沼ノ端駅","沼ノ端駅（ぬまのはたえき）","https://ja.wikipedia.org/wiki/沼ノ端駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯42度40分19.90秒東経141度41分36.21秒","■室蘭本線","144.0 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅（橋上駅）","1898年（明治31年）2月1日","2面3線","苫小牧市沼ノ端中央3丁目北緯42度40分19.90秒東経141度41分36.21秒座標:北緯42度40分19.90秒 東経141度41分36.21秒","無人駅","ハタ","","○H17","1,046人/日-2014年-","","","","","","",""
"沼袋駅","沼袋駅（ぬまぶくろえき）","https://ja.wikipedia.org/wiki/沼袋駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度43分10秒東経139度39分49.8秒","■新宿線","6.1 km（西武新宿起点）","西武鉄道","地上駅","1927年（昭和2年）4月16日","2面2線（通過線：1線）","東京都中野区沼袋一丁目35-1北緯35度43分10秒東経139度39分49.8秒﻿ / ﻿北緯35.71944度 東経139.663833度﻿ /35.71944; 139.663833座標:北緯35度43分10秒東経139度39分49.8秒﻿ / ﻿北緯35.71944度 東経139.663833度﻿ /35.71944; 139.663833","ホーム有効長は8両編成分地下化工事中","","","SS06","20,290人/日-2019年-","","","","","","",""
"沼部駅","沼部駅（ぬまべえき）","https://ja.wikipedia.org/wiki/沼部駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度34分57秒東経139度40分23.7秒","■東急多摩川線","0.9 km（多摩川起点）","東急電鉄","地上駅","1923年（大正12年）3月11日[1]","2面2線","東京都大田区田園調布本町28-1北緯35度34分57秒東経139度40分23.7秒﻿ / ﻿北緯35.58250度 東経139.673250度﻿ /35.58250; 139.673250座標:北緯35度34分57秒東経139度40分23.7秒﻿ / ﻿北緯35.58250度 東経139.673250度﻿ /35.58250; 139.673250","","","","TM02","8,038人/日-2020年-","","","","","","",""
"根雨駅","根雨駅（ねうえき）","https://ja.wikipedia.org/wiki/根雨駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度14分29.30秒東経133度26分30.36秒","V伯備線","111.3km（倉敷起点）岡山から127.2 km","西日本旅客鉄道（JR西日本）","地上駅","1922年（大正11年）7月30日","2面3線","鳥取県日野郡日野町根雨134-1北緯35度14分29.30秒東経133度26分30.36秒﻿ / ﻿北緯35.2414722度 東経133.4417667度﻿ /35.2414722; 133.4417667﻿ (根雨駅)","直営駅みどりの窓口有","ネウ","218人/日（降車客含まず）-2018年-","","436人/日-2018年-","","","","","","",""
"根笠駅","根笠駅（ねがさえき）","https://ja.wikipedia.org/wiki/根笠駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度12分38.35秒東経131度59分55.09秒","錦川清流線","23.5 km（川西起点）","錦川鉄道","地上駅","1960年（昭和35年）11月1日","1面1線","山口県岩国市美川町根笠北緯34度12分38.35秒東経131度59分55.09秒﻿ / ﻿北緯34.2106528度 東経131.9986361度﻿ /34.2106528; 131.9986361﻿ (根笠駅)座標:北緯34度12分38.35秒東経131度59分55.09秒﻿ / ﻿北緯34.2106528度 東経131.9986361度﻿ /34.2106528; 131.9986361﻿ (根笠駅)","無人駅[2]1987年（昭和62年）7月25日に、岩日線から現在の第三セクターに転換。","ネカ","","","9[1]人/日-2019年-","","","","","","",""
"根岸駅 (神奈川県)","根岸駅 (神奈川県)（ねぎしえき・東日本旅客鉄道根岸線）","https://ja.wikipedia.org/wiki/根岸駅_(神奈川県)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度24分56.8秒東経139度38分6.2秒","■根岸線（JR東日本）","7.1km（横浜起点）大宮から66.2km八王子から51.5 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）神奈川臨海鉄道","地上駅","1964年（昭和39年）5月19日","1面2線","横浜市磯子区東町16-1北緯35度24分56.8秒東経139度38分6.2秒﻿ / ﻿北緯35.415778度 東経139.635056度﻿ /35.415778; 139.635056座標:北緯35度24分56.8秒東経139度38分6.2秒﻿ / ﻿北緯35.415778度 東経139.635056度﻿ /35.415778; 139.635056","みどりの窓口有横浜市内駅","ネキ","21,998人/日（降車客含まず）-2019年-","JK07","","","","","","","",""
"根岸駅 (福島県)","根岸駅 (福島県)（ねぎしえき・東日本旅客鉄道只見線）","https://ja.wikipedia.org/wiki/根岸駅_(福島県)","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","■只見線","14.8 km（会津若松起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）11月1日","1面1線","","無人駅","ネシ","25人/日（降車客含まず）-2005年-","","","","","","","","",""
"猫又駅","猫又駅（ねこまたえき）","https://ja.wikipedia.org/wiki/猫又駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度44分58.92秒東経137度38分30.21秒","黒部峡谷鉄道本線","11.8 km（宇奈月起点）","黒部峡谷鉄道","地上駅","1953年11月16日","","富山県黒部市宇奈月町舟見明日音澤北緯36度44分58.92秒東経137度38分30.21秒座標:北緯36度44分58.92秒 東経137度38分30.21秒","作業員専用駅","","","","","","","","","","",""
"根小屋駅","根小屋駅（ねごやえき）","https://ja.wikipedia.org/wiki/根小屋駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度17分29.14秒東経139度1分7.54秒","上信線","3.7 km（高崎起点）","上信電鉄","地上駅","1926年（大正15年）6月1日","単式1面1線","群馬県高崎市根小屋町北緯36度17分29.14秒東経139度1分7.54秒座標:北緯36度17分29.14秒 東経139度1分7.54秒","","","149人/日（降車客含まず）-2019年-","","","","","","","","",""
"鼠ケ関駅","鼠ケ関駅（ねずがせきえき）","https://ja.wikipedia.org/wiki/鼠ケ関駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯38度33分19.9秒東経139度32分55.8秒","■羽越本線","101.0 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1923年（大正12年）11月23日","2面3線","山形県鶴岡市鼠ヶ関乙156-2北緯38度33分19.9秒東経139度32分55.8秒座標:北緯38度33分19.9秒 東経139度32分55.8秒","無人駅","ネキ","95人/日（降車客含まず）-2009年-","","","","","","","","",""
"下田ロープウェイ","寝姿山駅（ねすがたやまえき）","https://ja.wikipedia.org/wiki/下田ロープウェイ#路線概要","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","","","","","","","","","","","","","","","株式会社","日本〒415-0035静岡県下田市東本郷1-3-2","1961年（昭和36年）4月1日","陸運業","4080101014508","普通索道による旅客運輸業、食堂・売店の経営"
"根知駅","根知駅（ねちえき）","https://ja.wikipedia.org/wiki/根知駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯36度58分0秒東経137度52分1.6秒","■大糸線","95.4km（松本起点）南小谷から25.3 km","西日本旅客鉄道（JR西日本）","地上駅","1934年（昭和9年）11月14日","2面2線","新潟県糸魚川市大字根小屋字松川道外274北緯36度58分0秒東経137度52分1.6秒﻿ / ﻿北緯36.96667度 東経137.867111度﻿ /36.96667; 137.867111座標:北緯36度58分0秒東経137度52分1.6秒﻿ / ﻿北緯36.96667度 東経137.867111度﻿ /36.96667; 137.867111","無人駅標高：90m","ネチ","3人/日（降車客含まず）-2019年-","","","","","","","","",""
"根津駅","根津駅（ねづえき）","https://ja.wikipedia.org/wiki/根津駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度43分2.5秒東経139度45分56.7秒","●[1]千代田線","8.8 km（綾瀬起点）","東京地下鉄（東京メトロ）","地下駅","1969年（昭和44年）12月20日","2面2線（2層式）","東京都文京区根津一丁目3-5北緯35度43分2.5秒東経139度45分56.7秒﻿ / ﻿北緯35.717361度 東経139.765750度﻿ /35.717361; 139.765750座標:北緯35度43分2.5秒東経139度45分56.7秒﻿ / ﻿北緯35.717361度 東経139.765750度﻿ /35.717361; 139.765750","","ネツ","","C14[1]","29,579人/日-2019年-","","","","","","",""
"熱郛駅","熱郛駅（ねっぷえき）","https://ja.wikipedia.org/wiki/熱郛駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯42度40分32.38秒東経140度22分30.44秒","■函館本線","140.4 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）11月3日","2面2線","北海道寿都郡黒松内町字白井川北緯42度40分32.38秒東経140度22分30.44秒﻿ / ﻿北緯42.6756611度 東経140.3751222度﻿ /42.6756611; 140.3751222﻿ (熱郛駅)","無人駅","ネツ","","○S29","6人/日-2014年-","","","","","","",""
"根府川駅","根府川駅（ねぶかわえき）","https://ja.wikipedia.org/wiki/根府川駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度12分9.8秒東経139度8分18.5秒","■東海道本線","90.4 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1922年（大正11年）12月21日","2面3線","神奈川県小田原市根府川109北緯35度12分9.8秒東経139度8分18.5秒﻿ / ﻿北緯35.202722度 東経139.138472度﻿ /35.202722; 139.138472﻿ (根府川駅)","無人駅（自動券売機 有）","ネフ","","JT18","1,071人/日-2010年-","","","","","","",""
"根室駅","根室駅（ねむろえき）","https://ja.wikipedia.org/wiki/根室駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯43度19分36.92秒東経145度34分57.75秒","根室本線（花咲線）","443.8 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1921年（大正10年）8月5日","1面1線","北海道根室市光和町2丁目北緯43度19分36.92秒東経145度34分57.75秒","直営駅（管理駅）みどりの窓口有","ネム","","","176人/日-2019年-","","","","","","",""
"根本駅","根本駅（ねもとえき）","https://ja.wikipedia.org/wiki/根本駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯35度21分41.392秒東経137度5分23.791秒","CI太多線","4.8 km（多治見起点）","東海旅客鉄道（JR東海）","地上駅","1952年（昭和27年）12月26日","1面1線","岐阜県多治見市根本町三丁目北緯35度21分41.392秒東経137度5分23.791秒﻿ / ﻿北緯35.36149778度 東経137.08994194度﻿ /35.36149778; 137.08994194座標:北緯35度21分41.392秒東経137度5分23.791秒﻿ / ﻿北緯35.36149778度 東経137.08994194度﻿ /35.36149778; 137.08994194","業務委託駅（夜間無人駅）JR全線きっぷうりば有","ネモ","1,257人/日（降車客含まず）-2019年-","CI  05 ","","","","","","","",""
"寝屋川公園駅","寝屋川公園駅（ねやがわこうえんえき）","https://ja.wikipedia.org/wiki/寝屋川公園駅","日本の鉄道駅一覧_ぬ-の","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ぬ-の","箇条書き,制限あり","北緯34度45分20.65秒東経135度39分11.49秒","H片町線（学研都市線）","28.8 km（木津起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅、掘割構造）","1979年（昭和54年）10月1日","1面2線","大阪府寝屋川市打上元町14-1北緯34度45分20.65秒東経135度39分11.49秒﻿ / ﻿北緯34.7557361度 東経135.6531917度﻿ /34.7557361; 135.6531917座標:北緯34度45分20.65秒東経135度39分11.49秒﻿ / ﻿北緯34.7557361度 東経135.6531917度﻿ /34.7557361; 135.6531917","業務委託駅みどりの券売機プラス設置駅","ヒヤ*","4,381人/日（降車客含まず）-2019年-","JR-H32","","","","","","","",""
