"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","水系","標高","山系","種類","面積","外部リンク","種別","延長","平均流量","流域面積","水源","水源の標高","河口・合流先","流域","滝幅","周囲長","最大水深"
"屋島","[屋島（香川県）] 屋島 （やしま、 旧字体 ： 屋嶋 ）は、 日本 の 四国 北東部の、 香川県 高松市 の東北に位置する、硬質の溶岩に覆われた平坦面が侵食された残丘。南北に長い 台地 状の地形  。","https://ja.wikipedia.org/wiki/屋島","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯34度21分21秒東経134度6分17秒","香川県高松市","北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)座標:北緯34度21分21秒東経134度6分17秒﻿ / ﻿北緯34.35583度 東経134.10472度﻿ /34.35583; 134.10472﻿ (屋島)","","南嶺 292m","独立峰","台地の地形（メサ型溶岩台地）","","","","","","","","","","","","",""
"鞆の浦","[鞆の浦（広島県）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度22分51.173秒 東経133度22分46.878秒 ﻿ / ﻿ 北緯34.38088139度 東経133.37968833度 ﻿ / 34.38088139; 133.37968833 ﻿ ( 鞆の浦 )","https://ja.wikipedia.org/wiki/鞆の浦","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高浜町","[若狭高浜（福井県）] ","https://ja.wikipedia.org/wiki/高浜町","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯35度29分25.2秒東経135度33分3.5秒","〒919-2292福井県大飯郡高浜町宮崎第71号7番地の1北緯35度29分25.2秒東経135度33分3.5秒﻿ / ﻿北緯35.490333度 東経135.550972度﻿ /35.490333; 135.550972座標:北緯35度29分25.2秒東経135度33分3.5秒﻿ / ﻿北緯35.490333度 東経135.550972度﻿ /35.490333; 135.550972町役場位置","","","","","","72.40km2","公式ウェブサイト","","","","","","","","","","",""
"富士五湖","[富士五湖（山梨県）] 富士五湖 （ ふじごこ ）は、 山梨県 側の 富士山 麓に位置する5つの 湖 の総称。下記の5つの湖を指す。 富士急行 の創設者である 堀内良平 によって命名された  。","https://ja.wikipedia.org/wiki/富士五湖","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"琵琶湖","[琵琶湖（滋賀県）] 琵琶湖 （びわこ）は、 滋賀県 にある 日本 最大 の 面積 と貯水量を持つ 湖 。 一級水系 「 淀川 水系」に属する 一級河川 である。 国土交通大臣 から委託を受けて滋賀県知事が管理を担う。 湖沼水質保全特別措置法 指定湖沼で、 ラムサール条約 登録 湿地 でもある。","https://ja.wikipedia.org/wiki/琵琶湖","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯35度20分0秒東経136度10分0秒","日本滋賀県","北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667座標:北緯35度20分0秒東経136度10分0秒﻿ / ﻿北緯35.33333度 東経136.16667度﻿ /35.33333; 136.16667","","","","","669.26km2","","","","","","","","","","","235.20km","103.58m"
"大沼 (七飯町)","[大沼（北海道）] 大沼 （おおぬま）は、 北海道 亀田郡 七飯町 にある 湖  。大沼、小沼、蓴菜(じゅんさい)沼などの大小の湖沼群や 北海道駒ヶ岳 などの周辺の総称として「大沼」とも呼ばれている。大沼という地名は アイヌ語 の「 ポロ・ト 」に由来している  。ポロは「大いなる」を意味し、トは「湖沼」や「水溜まり」を意味している  。そこで、「大湖」または「大沼」ということになって「大沼」が採られた  。","https://ja.wikipedia.org/wiki/大沼_(七飯町)","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯41度59分51秒東経140度41分02秒","北海道（渡島総合振興局）北緯41度59分51秒東経140度41分02秒﻿ / ﻿北緯41.99750度 東経140.68389度﻿ /41.99750; 140.68389﻿ (大沼)大沼-地理院地図大沼-Google マップ大沼の位置北海道南部の地図を表示大沼 (七飯町) (北海道)北海道の地図を表示大沼 (七飯町) (日本)日本の地図を表示","","","","","","5.31km2","","","","","","","","","","","24km","12.2m"
"立山","[立山（富山県）] 立山 （たてやま）は、 日本 の 飛騨山脈 （北アルプス）北部、 中部山岳国立公園 を代表する雄大な群峰・連峰群である  。 立山連峰 と 後立山連峰 からなる複列連峰である。特に、立山連峰では、雄峰立山七十二峰八千八谷と謳われ、古来より信仰  の対象として神々が宿る精神的な山々の空間を 立山 と称した。仏教観の 須弥山 。古くは多知夜麻（たちやま）とも立山（りゅうさん・りゅうせん）とも称された。国文学表現の植(う)うる剣とも太刀の峯とも謳われる。","https://ja.wikipedia.org/wiki/立山","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯36度34分33秒東経137度37分11秒","富山県中新川郡立山町芦峅寺","北緯36度34分33秒東経137度37分11秒﻿ / ﻿北緯36.57583度 東経137.61972度﻿ /36.57583; 137.61972","","3,015m","飛騨山脈、立山連峰","","","","","","","","","","","","","",""
"阿蘇山","[阿蘇山（熊本県）] 阿蘇山 （あそさん）は、 日本 の 九州 中央部、 熊本県 阿蘇地方に位置する 火山 。 カルデラ を伴う大型の 複成火山 であり、 活火山 である。","https://ja.wikipedia.org/wiki/阿蘇山","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯32度53分3秒東経131度6分14秒","日本熊本県","北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389座標:北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389","","","","複成火山(活火山ランクA)","","","","","","","","","","","","",""
"御嶽山 (長野県)","[木曽御嶽（長野県）] 御嶽山  （おんたけさん）は、 長野県 木曽郡 木曽町 ・ 王滝村 と 岐阜県 下呂市 ・ 高山市 にまたがり、 東日本火山帯 の西端に位置する 標高 3,067 m の複合 成層火山 である   。大きな裾野を広げる 独立峰 である   。","https://ja.wikipedia.org/wiki/御嶽山_(長野県)","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯35度53分34秒東経137度28分49秒","日本長野県木曽郡木曽町・王滝村岐阜県下呂市・高山市","北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028座標:北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028","","最高峰剣ヶ峰 3,067m","独立峰（御嶽山系）","成層火山活火山ランクB、噴火警戒レベル1(活火山であることに留意)","","","","","","","","","","","","",""
"白馬岳","[白馬岳（長野県）] 白馬岳 （しろうまだけ）は、 飛騨山脈 （北アルプス）北部の 後立山連峰 にある 標高 2,932 m の 山 。 長野県 と 富山県 とにまたがり、 中部山岳国立公園  内にある。","https://ja.wikipedia.org/wiki/白馬岳","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯36度45分31秒東経137度45分31秒","日本長野県北安曇郡白馬村富山県黒部市、下新川郡朝日町","北緯36度45分31秒東経137度45分31秒﻿ / ﻿北緯36.75861度 東経137.75861度﻿ /36.75861; 137.75861座標:北緯36度45分31秒東経137度45分31秒﻿ / ﻿北緯36.75861度 東経137.75861度﻿ /36.75861; 137.75861","","2,932.24m","飛騨山脈（後立山連峰）","褶曲・隆起","","","","","","","","","","","","",""
"利根川","[利根川（千葉県）] 利根川 （とねがわ）は、 大水上山 を 水源 として 関東地方 を 北 から 東 へ流れ、 太平洋 に注ぐ 一級河川 。 一級水系 であり、利根川 水系 の 本流 である。河川の規模は日本最大級であり、 日本三大河川 の一つ。 首都圏 の水源として国内の経済活動上重要な役割を果たしている。「 坂東太郎 （ばんどうたろう。“東国にある日本一の大河”）」の異名を持つ 日本三大暴れ川 の一つで、 江戸時代 初期に行われた 河川改修 である 利根川東遷事業 により、流路を変更された歴史を持つ。","https://ja.wikipedia.org/wiki/利根川","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","一級水系利根川","","","","","","一級河川","322km","290.43m³/s（栗橋観測所2001年平均値）","16,840km²","大水上山（群馬県）","約1,800m","太平洋（茨城県・千葉県）","日本茨城県・栃木県・群馬県・埼玉県・千葉県・東京都・長野県","","",""
"球磨川","[球磨川（熊本県）] 球磨川 （くまがわ）は、 熊本県 南部の 人吉盆地 を貫流し、 川辺川 をはじめとする支流を併せながら、 八代平野 に至り 八代海 （不知火海）に注ぐ 一級河川 で、球磨川 水系 の本流である。熊本県内最大の 川 であり、 最上川 ・ 富士川 と並ぶ 日本三大急流 の一つでもある。","https://ja.wikipedia.org/wiki/球磨川","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","一級水系球磨川","","","","","","一級河川","115km","103.98m³/s（横石観測所 2000年）","1,880km²","石楠越・水上越（熊本県）","--m","八代海（熊本県）","日本熊本県","","",""
"長良川","[長良川（岐阜県）] 長良川 （ながらがわ）は、 岐阜県 郡上市 の 大日ヶ岳 に源を発し、 三重県 を経て 揖斐川 と合流し、 伊勢湾 に注ぐ 木曽川 水系の 一級河川 である。 濃尾平野 を流れる 木曽三川 のひとつ。なお、 下流 の一部では 愛知県 にも面し、岐阜県との 県境 を成している。 四万十川 ・ 柿田川 とともに「 日本三大清流 の一つ」と呼ばれる。","https://ja.wikipedia.org/wiki/長良川","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","一級水系木曽川","","","","","","一級河川","166km","115.4m³/s（忠節観測所1954年 - 2004年）","1,985km²","大日ヶ岳（岐阜県郡上市）","1,709m","伊勢湾（三重県桑名市）","日本岐阜県・愛知県・三重県","","",""
"瀞八丁","[瀞八丁（和歌山県）] 瀞八丁 （どろはっちょう）は、 和歌山県 新宮市 と 奈良県 吉野郡 十津川村 、 三重県 熊野市 の三県の境界を成す 峡谷 。 瀞峡 の下流である下瀞の上流にあたり、 熊野川 水系 北山川 上流の玉置口・洞天門から田戸までの区域をいう。","https://ja.wikipedia.org/wiki/瀞八丁","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"黒部峡谷","[黒部峡谷（富山県）] 黒部峡谷 （くろべきょうこく）は、 富山県 黒部市 、 黒部川 中流 - 上流にある 峡谷 （ V字谷 ）である。 飛騨山脈 北部を 立山連峰 と 後立山連峰 に分断する大規模な峡谷で、国の 特別天然記念物 （天然保護区域）及び 特別名勝 指定。 中部山岳国立公園 に含まれる。 清津渓谷 、 大杉谷 とともに 日本三大渓谷 に選定され、また 日本の秘境百選 の一つにも挙げられている。","https://ja.wikipedia.org/wiki/黒部峡谷","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"昇仙峡","[御岳昇仙峡（山梨県）] 昇仙峡 （しょうせんきょう）は、 山梨県 甲府市 、 甲府盆地 北側、 荒川  上流に位置する 渓谷 である。 特別名勝 に指定されており、国内有数の景勝地である。「日本五大名峡」の一つに数えられる  。","https://ja.wikipedia.org/wiki/昇仙峡","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天竜峡","[天竜峡（長野県）] 天竜峡 （てんりゅうきょう）とは、 長野県 飯田市 にある 天竜川 の 峡谷 。国の 名勝 に指定されており、また 天竜奥三河国定公園 の一部となっている。竜の字を旧字とした 天龍峡 と記述されることもある（後述）。","https://ja.wikipedia.org/wiki/天竜峡","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"那智滝","[那智滝（和歌山県）] 那智滝 （なちのたき）は、 和歌山県 東牟婁郡 那智勝浦町 の 那智川 中流にかかる 滝 。石英 斑岩 からなるほとんど垂直の断崖に沿って落下し、落ち口の幅13 メートル 、滝壺までの落差は133メートルに達し、その姿は 熊野灘 からも望見することができる  。総合落差では日本12位だが、一段の滝としては落差日本1位。 華厳滝 と共に 日本三名瀑 に数えられている。","https://ja.wikipedia.org/wiki/那智滝","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯33度40分31秒東経135度53分15秒","和歌山県那智勝浦町","北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750座標:北緯33度40分31秒東経135度53分15秒﻿ / ﻿北緯33.67528度 東経135.88750度﻿ /33.67528; 135.88750","那智川","","","","","","","","","","","","","","13m","",""
"養老の滝","[養老滝（岐阜県）] 養老の滝 （ようろうのたき）は、 岐阜県 養老郡 養老町 にある 木曽川 水系に属する落差32m、幅4mの 滝 である。岐阜県により設置された 養老公園 内にあり、 揖斐関ヶ原養老国定公園 に属する  。","https://ja.wikipedia.org/wiki/養老の滝","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯35度16分48秒東経136度32分3秒","岐阜県養老郡養老町養老公園","北緯35度16分48秒東経136度32分3秒﻿ / ﻿北緯35.28000度 東経136.53417度﻿ /35.28000; 136.53417","木曽川水系滝谷","","","","","","","","","","","","","","4m","",""
"袋田の滝","[袋田滝（茨城県）] 袋田の滝 （ふくろだのたき）は、 茨城県 久慈郡 大子町 袋田にある 滝 。位置は、 久慈川 支流の滝川上流にあたり、長さ120メートル、幅73メートル   。冬は「氷瀑」と呼ばれる、滝が凍結する現象が発生することがある  。","https://ja.wikipedia.org/wiki/袋田の滝","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯36度45分51.1秒東経140度24分26.5秒","茨城県久慈郡大子町袋田","北緯36度45分51.1秒東経140度24分26.5秒﻿ / ﻿北緯36.764194度 東経140.407361度﻿ /36.764194; 140.407361","久慈川水系滝川","","","","","","","","","","","","","","73m","",""
"熱海温泉","[熱海温泉（静岡県）] 熱海温泉 （あたみおんせん）は、 静岡県 熱海市 にある 温泉 である。日本の 三大温泉 の一つとも言われる。","https://ja.wikipedia.org/wiki/熱海温泉","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","北緯35度06分04秒東経139度04分01秒","静岡県熱海市","","","","","","","熱海市観光協会","","","","","","","","","","",""
"塩原温泉郷","[塩原温泉（栃木県）] 塩原温泉郷 （しおばらおんせんきょう）は、 栃木県 那須塩原市 （旧国 下野国 ）塩原地区内の、 箒川 沿いの 谷間 を中心に点在する11の 温泉 の総称（ 温泉郷 ）。","https://ja.wikipedia.org/wiki/塩原温泉郷","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"箱根温泉","[箱根温泉（神奈川県）] 箱根温泉 （はこねおんせん）は、 神奈川県 足柄下郡 箱根町 （旧国 相模国 ）にある 温泉 の総称。 箱根火山 の麓から中腹まで、あちこちに 温泉街 が点在している。付近は 富士箱根伊豆国立公園 に指定されている。","https://ja.wikipedia.org/wiki/箱根温泉","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","神奈川県足柄下郡箱根町","","","","","","","箱根町観光協会公式サイト","","","","","","","","","","",""
"奈良盆地","[大和平原（奈良県）] 奈良盆地 （ならぼんち）は、 日本 の 奈良県 北西部に位置する標高100メートル以下の 断層盆地 を指す。「 大和盆地 」「 大和平野 」とも呼ばれる。","https://ja.wikipedia.org/wiki/奈良盆地","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日田盆地","[日田盆地（大分県）] 日田盆地 （ひたぼんち）は、 大分県 日田市 にある 盆地 。 耶馬日田英彦山国定公園 に含まれ、 日本二十五勝 に選定されている。","https://ja.wikipedia.org/wiki/日田盆地","日本二十五勝","https://ja.wikipedia.org/wiki/日本二十五勝","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
